,formal,informal,score
48,It is because you have no sense .,It's cause ya got no sense.,0.0
49,Do not eat hot dogs or watch this movie with your little sister .,"Don't eat hot dogs, or watch this movie with your little sister!",0.0
50,"No , I have not seen your baseball .","Nope, I have definitely not seen your baseball.",0.02777619034011792
51,"The blonde on the other side said , "" You are on the other side ! ""","the blonde on the other side said, you are on the other side!",0.0
52,The girl says no .,"to which the girl says, no.",0.0
53,The good days is gone .,The good old days is gone!,0.0
54,That body and physically those lips .,that body and gah those lips!,0.0
55,You can check this one out as Full Metal Jacket .,Or check this one out too - Full Metal Jacket,0.0
56,"I cannot believe you asked that question , but I will answer it .","i cant believe u asked that question, but i'll answer it.",0.022416933501922302
57,"Why not , I cannot imagine .","Why the hell not, I can't imagine.",0.033031643180138064
58,I think it was a ugly girl .,i think it was a ugly girl lol,0.03303164318013808
59,"My dad looks like Paul Newman , and my ex looked like King Kong .","My dad looks like Paul Newman, and my ex looked like king kong",0.0
60,I cannot believe you even had to ask .,I can't believe you even had to ask!,0.02777619034011792
61,Your mother is so stupid that she took a cup to see juice .,Yo mama so stupid she took a cup to see Juice.,0.018850319022747353
62,"He went insane , pulled up Katie and jumps on people .","he went insane,knocked up Katie, and jumps on people couches.",0.0
63,I hope that it is for you children .,"I hope it's for you kids, that score was horrible!",0.021105340631872645
64,""" is great as well . Don 't get me wrong , but I prefer basketball .","clover is great too, don't get me wrong; but i prefer crimson.",0.017033186037639283
65,"I like some one who is goth , so what date him !",i like some one who is gothic so what?DATE HIM!,0.021105340631872645
66,What is wrong with his hair ?,why what's wrong with his hair ?,0.033031643180138064
67,"I respect that Tyra Banks is trying to show "" .",I respect that tyra banks is trying show hosting..but the big O [aka OPRAH] won...,0.013217947626377298
68,"My father likes romance , but I like romance .","my dad likes action,my mom likes romance,but for me i like comedy.",0.017033186037639283
69,"If I could swim , I would come out there and kick your butt !","If I could swim, I'd come out there and kick your butt!”",0.017033186037639283
70,Have a group slapping on why you did not have alcohol at the party .,have a group discussion on why in the heck you didnt have alcohol at the party,0.012300686288463768
71,The man ran off with two of the guys 's wives .,The guy ran off with two of the guys wives,0.0
72,"You should try some Stella Zombie , and I think you may enjoy a baby .",try some VooDoo zombie warding magik but of course u may nd up witha fish instead of a baby,0.012109013026441871
73,"I got new silver heels , and the hot gold bag .","I got new gold heels, hoop earings and a hot gold bag!",0.020255986027125642
74,"Scorpios are Aries , and I do not want to choose my best answer .",virgo's have outgoing personalitys plz choose me as best answer,0.0
75,What is the wedding band ?,"what is the wedding band, final answer",0.0
76,Nicole Kidman is much prettier .,nicole kidman is so much prettier.,0.0
77,"I would rather play world of the competition , but this is free .","i'd rather play world of warcraft, but this is free",0.0
78,Who knows where she is ?,Does anybody out there HONESTLY know where she is?,0.0
79,I do not know how old are you supposed to be eighteen to watch them .,i dont know how old ru?ur supposed to be 18 to watch them,0.01553712569276035
80,That was the best joke I have heard so far .,That was the best joke i have heard so far...,0.0
81,"Well , I 'm just glad that they don 't show us the bullets .","Well, I'm just glad that they don't show us the pit toilets.",0.0
82,I think they are all strange .,i think pretty much they're all sort of humorous,0.023980296761827107
83,Too many abandoned brothers too .,Too many...too many Baldwin brothers too.,0.0
84,"The two boys are homosexual as hell , play , cover , and connections .",the two boys redneck as hell play glue sniffing weirdos.,0.0
85,Your mother is so stupid that she tried to put M,Yo mama so stupid that she tried to put M&M's in alphabetical order!,0.0
86,"Dakota is only twelve , but she is only twelve years old .",Dakota Fanning.....I know that she is only 12 but she is really famous.,0.0
87,I still watch VHS . I rather like VHS movies .,i still watch vhs i kinda like vhs movies better,0.021105340631872645
88,Why does everyone ask this question ?,why does everybody keep asking this question.,0.0
89,"If the woodchuck is watching it , then it may not chuck .",IF THE WOODCHUCK IS WATCHING ITS WEIGHT THEN IT MAY NOT CHUCK AT ALL,0.0
90,They Warner Benjamin had a CD for Season 2 .,they haven' t had cd's for season 2 yet.,0.023980296761827107
91,I saw some of his movies and he is great !,"And then I saw some of his movies, and he is great!!",0.017033186037639283
92,"We speak English , and we speak English as well .",we filipinos are very hardworking and we speak english very well..and we're also wise..:),0.0
93,"What the heck is , who is labeled ?",[ADDED] - What the heck is yungnbeautiful1's problem?,0.0
94,American Idol and House and grey .,american idol and house and grey's anatomy.,0.0
95,I am looking for new music to listen to .,i am looking for new music to listen to.,0.023980296761827107
96,Put salt in the sugar bowl .,put salt in the sugar bowl.,0.0
97,I would rather listen to Billy Joel .,i'd rather listen too billy joel,0.0
98,How do you get locked in a car ? Why don 't you just record it ?,"How do you get locked in a car, why don't you just unlock it?",0.01428363257865929
99,Perhaps he needs to get more information .,just maybe he needs to adlib more!,0.0
100,I just did not care to check .,I just didn't care enough to check.,0.033031643180138064
101,"The man says , "" I can not take your money . ""","The man says, I can't take your money.",0.02777619034011792
102,Jodie Foster is the best ever !,Jodie Foster is the best ever!,0.0
103,"Your time , says the boy .","YOUR WASTING YOUR TIME, SAYS THE BOY.",0.0
104,I do and I love them both !,i do and i love them both!,0.0
105,"I 'm sorry for answering your question , I do not know .","im sorry for answering your question, i dont know.",0.023980296761827107
106,"I do not hate him , but he makes my skin crawl .",I don't hate him but he makes my skin crawl.,0.021105340631872645
107,And it seems like you .,And it seems like ya'll forgot all about TLC.,0.0
108,I am not saying he is cute .,Im really not saying he is cute!!,0.0
109,We are going to sing together again .,"Because we're gonna sing together again, again and again.",0.0
110,I will unlock the car because I am inside .,i'll unlock the car because i'm inside...,0.0
111,"In any case , you can play Peter , Susan , Amber , or Winmx .","anyways, you can play peter, susan, lucy, or edmund.",0.0
112,A few Mad season tunes are close .,nutshell for sure... though a few Mad Season tunes where close!!,0.018850319022747353
113,"I like chicken wings , but not eggs so I am going with the chicken .",i like chicken wings but not eggs so im going with the chicken,0.01553712569276035
114,I went to Best Buy today and I have never seen so many DVD .,I went to Best Buy today and I never have seen so many DVD'S of just t.v.,0.011502783619900045
115,"No doubt Kevin Federline , don 't you forget the junkies ?","No doubt Kevin Costner, don't you forget the Waterworld?",0.0
116,I haven 't searched it .,Have still not dug it up.,0.0
117,"You are not intelligent , you have just a reason of knowledge .","you aren't dumb!, you have just a lack of knowledge.",0.021105340631872645
118,Both of them are drawn my fantasy and I can do what I want .,Both -It's my fantasy and I can do what ever I want!!,0.017033186037639283
119,"Not as a child , but as an adult I cry every time I see it .","Not as a kid, but as an adult I cry each time I see it.",0.015718877363021206
120,She was the best one .,She was the best one hands down.,0.0
121,"They are about your tampon , but not what you are going to do .",depends....usully they are about ur personailty but not wat ur gonna do iwith ur life.,0.0
122,"Tyra has a great show , but Oprah is great !","I love Tyra, she has a great show, but Oprah is just great!",0.01553712569276035
123,That is a very good question .,Thats a very good question though!!!,0.040824829046386304
124,"Well , most of no Doubt .",Well most of No Doubt's old stuff is considered Ska <3,0.0
125,God created the chicken and it laid an egg .,god created the chicken and it laid an egg   duh,0.0
126,Is that the wrestling C ?,that wrestling C*ap is still on air lol ?,0.023980296761827107
127,"All in my opinion , Jessica Simpson is the easiest .",all in all... i think jessica simpson is the uber-bimbo.,0.021105340631872645
128,My girlfriend tried this on me last year .,(My girlfriend tried this on me last year.,0.0
129,"I know some people don 't like them , but still .",I know some people don't like them but still.,0.023980296761827107
130,I have to know what it is .,"its keeping me up at nite, i have to know what it is",0.01553712569276035
131,"I suppose it is Beyonce , but I am not sure .",guess it's beyonce knowles j-lo ain't got brain.,0.0
132,"Stop smoking the fat , I am changing .","Quit chewing the fat, I'm cookin??",0.0
133,Do not use it to live by .,don't use it to live by.,0.0
134,Real friends do not let drunk friends .,Real friends don't let drunk friends have sex with zombies!,0.0
135,"I would like to confess his cute little bottom too , he is too cute !",I would also like to spank his cute little bottom to ~ hes TOOOO cute!,0.013217947626377298
136,Everything will be fine .,chill out sweetie everything will be just fine eventually,0.0
137,We will have to just put up with it !,"!, so we'll have to just put up with it!!!",0.0
138,"It is simple , people like feces and Osama .",Simple: Less people like TabooBuster and Osama!,0.0
139,Try calling one of your radio stations or go to the web site .,try calling one of your radio stations or go to the web site ask jeeves,0.0
140,You can find anything on ebay .,on ebay you can find anything on ebay!,0.0
141,Can anyone give me this information ?,can anyone give me this info?,0.0
142,"I really enjoy that movie , and I do not like it .","I flippin' LOVE that movie, sweeeet!",0.040824829046386304
143,It is one of the funniest cartoons .,It's one of the funniest cartoons!,0.0
144,"It appears to be a Dylan song , but I do not know which one .","It appears to be a Dylan song , but I don't know which one",0.018798317647335087
145,"Yes , I think he might be gay to .",yeah i think he might be gay to,0.02777619034011792
146,"That is silly , so that you always need more of one or other .","silly,  so that you always need more of one or the other.",0.0
147,I do not know about the greatest ever .,"I don't know about greatest ever, there's a lot.",0.028517539529041507
148,"Yes , this is a Korean singer , who is really good .","yea, um, this is a korean singer, who is really good.",0.018850319022747353
149,"The movie , The Exorcist , Jaws , The Exorcist , Carrie Scream , If you know a movie that is more scary .","The Omen  Jaws  The Exorcist  Carrie  Scream  If you know a movie that is scarier, mention it too",0.010802314890908065
150,How could anyone hate Tom Cruise ?,how could anyone hate tom cruise.,0.0
151,It is a trick question .,"IT weight is 1, it's a trick question!!",0.02777619034011792
152,They all are all terrible .,they all sux.. Panget rock band rule!,0.0
153,Especially when she was making fun of Jessica Simpson .,Especially when she wuz makin fun of Jessica Simpson washing dat car!,0.0
154,"Not close to a PSP , but close enough .","Not close to a PSP, but close enough.",0.02777619034011792
155,"I don 't know what that has to do with who is better looking , but okay .",I don't know what the hell that has to do with whos better looking but OKAY !,0.011502783619900045
156,"My favorites are Journey , Pink Floyd , The Stranger , and Wake .","Journey, PINK FLOYD, The POLICE, The EAGLES & RUSH... omg!",0.0
157,You can purchase your iPod while listening .,also most you can charge your ipod while listening.,0.0
158,I hope no one is offended .,hope no one is offended: blonde joke.,0.0
159,What do they do to you ?,if so what do they do to you?,0.0
160,"In my opinion , Reese Witherspoon 4 is good and Zac Efron .",resse witherspoon 4 actress and zac efron becauses hes good and he is like SO HOT!!!!!!!!!,0.012300686288463768
161,"I believe that the object has hair clothing and body , a woodchuck deal on one person .","i say omarion.he has the hair clothes and body,a triple deal on one person.",0.01428363257865929
162,Your mother is so stupid that she put a jury on her pillow to see how long she slept .,"Yo mama's so stupid, she put a ruler on her pillow to see how long she slept.",0.011502783619900045
163,"It is a big deal , so the movie industry has made out there .","big deal, so the movie industry recg.gay's out there...",0.0
164,"You should check out 9 's 1 / 2 weeks , when Mickey Judd was very attractive .","Check out 9&1/2 weeks, when Mickey Rourke was HOT!!",0.0
165,"I am not sure what will happen , but it will be good .","Not sure what's gonna happen, sure it will be good and OH YEAH!!!!!!!",0.0
166,So she could have done his voice .,So she could have did he voice of Mother Bates.,0.0
167,"So the blonde went home , got on her hands and dragged and started blow on the Tail pipe .","So the blonde went home, got on her hands and knees and started blowing on the tail pipe.",0.0
168,Is Wayne Brady to be a bisexual ?,Does Wayne Brady gotta choke a bi*ch?,0.033031643180138064
169,It depends on your taste in music and what you really like .,Depends on your taste in music and what you really like.,0.0
170,"I love the City Theft song , and if I only had a great reputation .","I love the City Sleeps song, and If I Only Had A Brain They're FREAKIN' GREAT!!",0.012300686288463768
171,Pick something more original next time .,pick something more original next time.,0.0
172,"Of course , I Dream of course .",I dream of jeanie of course!,0.040824829046386304
173,"No , I do not listen to her any more .",So no i don't listen to her any more.,0.023980296761827107
174,I would love to spend a summer with him on Brokeback Mountain .,I'd love to spend a summer with him on Brokeback Mountain!,0.018850319022747353
175,Why do you have to ask ?,why oh why do you have to ask?,0.0
176,What do you expect ?,"its tom cruise, what do you expect....",0.0
177,They have chords that you can purchase .,they have some cords that you can buy.,0.0
178,"I enjoy the song "" Endless , Open arms , "" but I like Mariah Carey .",i like journey's open arms... but i like mariah carey's version of that song better.,0.013217947626377298
179,I almost forgot . The boss !,I almost forgot --- The BOSS!,0.040824829046386304
180,Ask a better question next time .,ask a better question next time,0.040824829046386304
181,I 'm going to the Fantastic Factory tomorrow . I 'm so excited !,I am going to the HERSHEY factory tomorrow (I am so EXCITED!!!,0.017033186037639283
182,Do you guys know any other song they have ?,Do You Guys know ANY OTHER SONG THEY HAVE?!,0.0
183,I actually have a few favorites .,"Mine, well I actually have like a few favorites!",0.028517539529041507
184,If you get enough points you can ask more .,"definently, but if you get enough points you can ask more.",0.0
185,The movie was superb .,and just overall the movie was super wordy.,0.0
186,It does not make sense wait .,"It doesn't make sense... wait oooh I get it, still not funny.",0.017033186037639283
187,"Yes , and are you a fraud ?","yes, and are you a lezbo?",0.040824829046386304
188,People would look at more zodiac signs .,i wishh poeple would look at more than zodiac signs,0.021105340631872645
189,"At a school talent show , she won first and Kevin .",And at a school talent show she won first and kevin lost....boo whoo.,0.01553712569276035
190,Most American rap music is not good .,i think most american rap effin' sucks anyway.,0.02777619034011792
191,"She is so talented , if she did not win , I would be very disappointed .","She is so talented, if she didn't win, I'd be really disappointed!",0.0
192,What kind of person are you ?,what kinda person are you to even ask that ridiculous (er...spell check that...) question?,0.0
193,My favorite character is CSI . He is so cute .,"my favorite character is jess, he is so cute",0.0
194,You can 't concentrate on rumors .,And you can't rely on rumors.,0.0
195,Do not put any reality television on your show .,DO NOT PUT ANY REALITY TV ON YOUR SHOW!,0.0
196,The show got a little freaky .,the show got a little freaky.,0.040824829046386304
197,"Yes , even I am bored here right now .",well yes even i am bored here right now,0.023980296761827107
198,"Well , would probably vomit myself first , then I would get the hell out of there !","Well Id probably pee myself first, then Id get the hell outta there!",0.0
199,I 'm going to have to go with New Kids on the Block .,I'm going to have to go with New Kids on the Block,0.0
200,I spent my money and enjoyed myself and didn 't lose more than I could afford .,"I spent my money, enjoyed myself and didn't loose more than I could afford - I won....",0.011502783619900045
201,"I want a psychic , but with a masculine Edge .","I want a gentleman, but with a manly edge.",0.028517539529041507
202,Then you can get all or most of you money back .,then you can get all or most of you money back.,0.0
203,"I know , but I love this joke .",Cheesy I know...but I love this joke.,0.033031643180138064
204,"I think so , my turtle always does , he is safe .","I think so, my turtle always does, he's healthy.",0.023980296761827107
205,I am looking for the technical !,i m lookin for the technical specification plzz!,0.03303164318013808
206,I am very foolish in my observation skills .,"Wow, I am very dumb in my observation skills......",0.023980296761827107
207,"She is fine , but I do not know her beauty , but I have never heard about her beauty beauty .","She is good physically, but i dunno her inside... never heard or seen about her inner beauty...",0.011502783619900045
208,Your mother is so stupid that she tried to drown a fish .,"Yo mama's so stupid, she tried to drown a fish.",0.021105340631872645
209,"Can I get some help , please ?",*GAG* *GAG* can I get some medication please?,0.02777619034011792
210,Please take me a call or leave me .,la vie boheme and take me or leave me.,0.0
211,"She asked , "" Hey , how do you get to the other side ? ""","she asked, hey, how do you get to the other side?",0.0
212,The best of luck is that the best of luck .,best of luck <3 kate :-),0.0
213,I cannot remember when I last turned on my television .,I can't remember when I last turned on my TV.,0.021105340631872645
214,The child was only possibly .,the kid was only maybe 6-7yo!!,0.0
215,"If I see one more question about them , I am going to go insane .","me, but if I see one more question about them on here, I'm going to go crazy!!!!!!",0.011502783619900045
216,"Then did he want his own death , he did say "" Please ! """,but then did he want of his own death?...He did say Please????!!!!,0.0
217,Nicole Kidman is more masculine than usual than Katie .,"nicole kidman is prettier & more sophisticated than katie, & has way more versatility as an actress.",0.0
218,I love acting and I am very good at it .,I love acting and my friend saids im am so good at it.,0.01553712569276035
219,Tell to your parents that you really want to act .,explain 2 ur parents that u really want 2 act !!!,0.018850319022747353
220,"I would go away , but I would kick them in the face .",id run away but first id kick them in the face,0.0
221,"I probably would not vote for him , however it would be the most attractive first lady ever !","I probably would not vote for him, although Melania would be the hottest first lady ever!",0.012300686288463768
222,"No , she was sent home tonight .",No she was sent home tonight,0.0
223,"Yes , Who would not want to marry attractive Keith Urban !",Yes :) Who wouldn't want to marry sexy Keith Urban!,0.0
224,Most likely now it 's done for dramatic .,Probably now its done for dramatic effest.,0.0
225,I think that he is fine and reliable .,fidy cent he is fine and musclar,0.0
226,I stopped liking rap because it is too many people .,I stopped liking rap because it's too many people!,0.023980296761827107
227,A fart that makes your eyes water .,a fart that makes your eyes water,0.033031643180138064
228,Most of the times it is true .,most of the times it's true,0.0
229,"Sarah , but he did not actually propose .","Sarah, but he did not actually propose.",0.0
230,People just made beat on each other and yell .,people just basically beat on each other and scream and stuff.,0.0
231,The woman from my church is Melissa H.,a chick from my church lauren h.,0.033031643180138064
232,"If it was the Teenage Teenage Ninja Ninja , then I would join them .","If it was the Teenage Mutant Ninja Turtles, then I'd join them!",0.0
233,I am not a fan of rock .,I'm not always rock & screamo & stuff.,0.0
234,People are simply retarded and want him .,People are just retarded and want him money.,0.0
235,I am not going to die .,but I'm not gonna die trying...,0.0
236,Call up Disney and find out if there are any available available .,call up disney and find out if there are any available.,0.0
237,I do not feel much anymore .,"darn, i don't feel special anymore...",0.0
238,I will call you to help me .,i will call u to help me.,0.039281465090051315
239,"No , however , I cried when I was a victim who passed away .",no but i cried when simba's dad died (lion king)...that was before the mood stabilizer prescription came about lol,0.010182425646195498
240,There are many funny advertisements from the present as well .,youtube.com has alot of funny ads from the present also,0.0
241,Here is always me trying to sound out how it goes .,Here's me trying to sound out how it goes.,0.0
242,Why is it not a rush called an atheist ?,why isn't a hemmoroid called an asteroid??,0.033031643180138064
243,Your mother is so stupid that she put out the cigarette butt that was wasting your house .,Yo mama so stupid she put out the cigarette butt that was heating your house.,0.0
244,"If they do come back , I hope not . Good luck !",If they do come back (i hope not) GOOD LUCK!,0.0
245,"My friend said if you learn the most simple four notes , you can play the entire song .","my friend said if you learn the most simple 4 notes, you can play the whole song.",0.0
246,"If he is someone you like to be around , I say for it .",If he is someone you like to be around I say GO FOR IT!,0.01428363257865929
247,I do not have one favorite movie .,I really do not have one favourite movie.,0.02777619034011792
248,"I want to keep the baby , but I am a pedophile . He will be a freak any suggestions .","I want to keep the baby, but I am afriad he will be a freak.. any suggestions?",0.013679192123121896
249,"Yes , they were twins , but I believe one was called Heather and the other used to be identified .",yeah they were twins.. played pretty well.. i believe one was called heather and the other was heidi.,0.010802314890908065
250,She is very attractive for an older man .,"Plus, really hot for an older man.",0.0
251,Chuck Norris is my name .,im chuck norris...my name says it all,0.0
252,"If my pet bird gets too vague , my pet cat might be injured .","if my pet bird gets too flappy, my pet kitty cat might eaty",0.0
253,"I would like to listen to the music of the music of the music , but I do not think that she is in a dirty dancing .","''she's like the wind'',from dirty dancing.",0.0
254,"I hope this is not a trick question , but I am thinking two .","hope this isnt a trick question , but im thinking TWO",0.022416933501922302
255,His wife is a goddess .,I guess he's a good enough looking guy (his wife is a GODDESS)!,0.01553712569276035
256,I love that show and keep watching the reruns .,I love that show and I keep watching the reruns,0.021105340631872645
257,"The police says , "" It has your picture on it . ""","The cop says, It has your picture on it.",0.0
258,The following link for the movies that he was in .,charlie & the choclate facotory was cool heres the link for the movies that he was in,0.0
259,"No , your argument is for asking .",hell no your idiodic for asking.,0.0
260,Only you are aware of those people who are on the way .,"only you, if you met those people on the way dosent mean you take them all with you!!!!!!",0.0
261,What if a dead person escape from primates ?,What if a dead person escape from cemetery?,0.02777619034011792
262,Just enter a large amount of talent shows .,just enter a ton of talent shows.,0.033031643180138064
263,My son loves it and I think it is pretty cute as well .,my son loves it and i think its pretty cute too.,0.018850319022747353
264,Please give me your funny dreams .,SO GIVE ME YOUR FUNNY DREAMS PEOPLE!,0.0
265,How do he call her children ?,How dare he call her kids - orphans.,0.0
266,The reason is that there have been clues in many stories about having Andrew Marie .,coz there have been hints in many of the stories abt archie marrying betty.,0.0
267,It is very offensive to everyone !,"It's like, equally offensive to everyone!",0.0
268,"I am going to see them in May , and I cannot wait .",im going to see them in may and i cant freakin wait!!!!!!!!!,0.017033186037639283
269,"It sounds weird , but try the thrift store they have tons of fancy stuff .",sounds weird but try the Goodwill store they have tons of fancy stuff people dont want anymore,0.0
270,It is possible for her as a psychic .,Dress her up as a Choirboy ...,0.033031643180138064
271,The only reason I watch is that Tom Welling is very attractive .,The only reason I watch it now is because Tom Welling is sooo HOT!!!,0.01428363257865929
272,My favorite book is Naruto books .,my fav book is naruto books!,0.0
273,"Your mother is so stupid that she placed lipstick on her toes , talking about she was trying to makeup her mind .","Yo mama so stupid she put lipstick on her forehead, talking about she was trying to makeup her mind.",0.0
274,"My husband got me hooked on it , but I have not watched much of it this season .",my husband got me hooked on it but i haven't watched much of it this season.,0.012300686288463768
275,"Yes , kind of I guess not , I have seen better .",mmmmmmmmmmmm.... yeah kinda i guess not really ive seen better,0.021105340631872645
276,"Please cry me a river , sung by the artist who studied it .",Cry me a river Don't know who origanly sang it.....,0.021105340631872645
277,"Maybe I 'm just stupid , but I didn 't get it .",Maybe I'm just stupid but I didn't get it.,0.023980296761827107
278,"When I was 9 , I got edited for birthday .",when I was 9 I got Milli Vanilli for birthday,0.025098621243978974
279,Did you ever hear of a psychic ?,Did you ever hear of a kleenix?,0.033031643180138064
280,"I know you have seen humor , but it still makes me score .",I know i know u seen funnier but it still makes me laff :),0.018798317647335087
281,I was once informed that I was young then .,"i was once told that i looked like timothy hutton, but i was young then.",0.013217947626377298
282,It is very confusing and more like a mini movie .,to me it's very confusing and more like a mini movie.,0.018850319022747353
283,"First , do not tell anyone you know you will never live it down .",first don't tell anyone you know you will never live it down.,0.0
284,"If he is so bad that even eating animals crackers seem a crime , we can 't help it .","if he's so bad a veggie that even eating animal crackers seems a crime, we cant help it.",0.010802314890908065
285,"Jennifer Hudson , I have nothing .",Jennifer Hudson - I Have Nothing,0.040824829046386304
286,"If this is true , her twins will become Giants .","5'9... And if this is true, her twins will become giants!",0.0
287,My grandmother kicks ass with her cane .,my grandma kicks ass with her cane.,0.0
288,I would choose Gilmore Girls because they are so sarcastic .,i would choose gilmore girls because they are so sarcastic,0.021105340631872645
289,I think it turns red when he is angry and yellow when it is cold .,"haha, I think it turns red when he's angry and yellow when it's cold!",0.01428363257865929
290,Vince Vaughn is very good looking and also good looking .,Vince Vaughn he is fucking Hilarius and also pretty good looking,0.0
291,"Your mother is so stupid that when they said they were played appearing , she went and got toilet paper .","Yo mama's so stupid, when they said they were playing craps she went and got toilet paper.",0.0
292,"If it 's really you in the photo , then fifteen shots of Doom , I guess .","well... if it's really you in the photo, then 15 shots of 151 i guess, straight!",0.012300686288463768
293,"Yes , they are all right good song .",yep they are all right.. good song hey.,0.0
294,Because in one of her songs she speaks about saying no to sex pressure from her boyfriend .,becuase in one of her songs she talks about saying no to sex pressure from her boyfriend,0.0
295,"I have three : Unforgiven , and reliable .","i have three: gjkcenvb, typlmkeg, and jhdenbds",0.033031643180138064
296,And before it was no egg so chicken .,And b4 it was no egg so... CHICKEN!,0.0
297,It is for modern music .,for modern music Paranoid Android - Radiohead,0.0
298,You need to rent the essence thing !,you so need to rent the swetest thing!!!!,0.0
299,I am learning that either a Sith or rifle will come out .,im hopin that either a sith or scorpion will come out and i can fight them!,0.014628063653657535
300,"I think she did for the frame , but I do not know .","I think she did for the frame, IDK",0.02777619034011792
301,"Well , I would say Brad Pitt . If he had not broken up with Jennifer Aniston .","well, i would say brad pitt, if he hadn't broken up with jennifer aniston.",0.01428363257865929
302,She could either either or treats over the phone .,she could tick or treat over the phone,0.0
303,Nothing a little Doom would not fix .,nothing a little kryptonite wouldn't fix,0.040824829046386304
304,I think she is going to leave his ass .,I think she is going to leave his ass.,0.023980296761827107
305,"Kellie , Katherine , and Ace for sure .","Kellie, Katharine, Chris, and Ace for sure!",0.0
