,Source,DELETEANDRETRIEVE,HUMAN,SCORE
32,"he enjoys this toy ,  but can get the treats out fairly quickly .","spyro games always be fun to used ,  but this is the best quality that protects both requirements .","he loves this toy, and can get the treats out fairly quickly.",0.012109013026441871
33,i simply treated it how i would assume a curling iron works .,"the computer recognized the usb connection ,  but the cursor can be removed and never moved .","i simply treated it how i would assume a curling iron works, and it was great",0.011502783619900045
34,i ve not been terribly impressed with this box .,so i bought this product to regulate my cycles and i love it .,i ve been really impressed with this box .,0.0169861974906263
35,hardly something i would give as a wrapped birthday gift .,i find myself using it more than my current one .,something i would give as a wrapped birthday gift .,0.022416933501922302
36,i won t give this to the new puppy i m getting .,we have been treating our hair for months and finally got this great !  .,I would give this to the new puppy I'm getting.,0.013217947626377298
37,spent more time fiddling with this than i did looking at the road .,i bought this set for our toaster oven and i m very happy with it .,didn't have to spend a lot of time spent more time fiddling with this so i was free to focus on the road.,0.01618861356572822
38,"multiplayer is just as bad ,  though thankfully not worse .","is heavy ,  but that is what you re looking for ?  heavy ,  .",multiplayer is even better.,0.013217947626377298
39,this one sits on our shelf collecting dust .,it does all that i would not had to do that .,this one sits on our shelf and is frequently used.,0.020255986027125642
40,if your bike had a kickstand on the plate it won t lock down .,my mouth feels so clean and is easy to clean !  i m thirsty after drinking this .,if your bike had a kickstand on the plate it would lock down.,0.01284618972676772
41,"might work for others ,  didn t work for me .","my cat is great !  it isn t just bad ,  which works .","might work for others , didn t work perfectly for me",0.0169861974906263
42,just hurry up and play the darn song and move on for goodness sake .,obviously we all have our preferences and it has held up really well for taste .,just hurry up and play the song for goodness sake .,0.012300686288463768
43,the bowl is too light  we even had it on a rubber mat .,since this is the best little longer can opener i have used the price .,the bowl is slightly too light we even had it on a rubber mat,0.013217947626377298
44,in num_num thq came out with this wrestling game .,surely what paid for it so it is worth half .,They didn't come out with this wrestling game.,0.018850319022747353
45,i don t know why it has all the good reviews .,"once you play one match ,  you ve played them all and clean .",is get all the good reviews,0.0
46,this game offers nothing unique and the graphics are not worth raving about .,i m just looking forward to get one for every day i get to replace it .,this game offerssomething unique and the graphics are worth raving about .,0.015138514598766055
47,there s no way this will last as long as claimed .,"i like neutrogena products as a rule ,  so much ,  so this was a disappointment .",it's hard to believe this will last as long as claimed,0.013679192123121896
48,does not give me any confidence in buying any of the discovery kids toys .,"it is sturdy ,  the original unreal tournament is the very definition of fun .",gives me confidence in buying any of the discovery kids toys .,0.013217947626377298
49,after that you have to pay a subscription .,"the first time ,  it charges my things through really slowed num_extend",after that you don't even have to pay a subscription .,0.0
50,i ordered these from amazon since i could find them nowhere in my area .,if you follow the two reviewers determined there are drivers to be downloaded but i probably worth the bs .,I found them in my area,0.009629943614188135
51,other brands in this large of a container are glass .,the bar contains  agave nectar  which does not contain cooking at all .,other brands in this large of a container aren't glass .,0.01553712569276035
52,another  energy  product that simply wastes our money .,very sharp and i couldn t stand the persistent smell of feces in my apartment .,the energy product is great with money,0.014628063653657535
53,"generally if a toy makes noise ,  i don t mind so much .","first ,  i put them both under my feet and it is perfect also .",generally I like it if a toy makes noise.,0.015718877363021206
54,it reminds me more of silly putty than of a concealer .,this is a great product for conditioning even though shea butter .,it reminds me more of a higher quality product than of a concealer,0.017033186037639283
55,"so after two months of use ,  working in it .",i waste of money this is an excellent case .,it works at all times,0.021105340631872645
56,this is just a little too low quality .,i ve used it twice and it has performed well .,this is just very high quality.,0.022416933501922302
57,then contact sharp and go on from there .,i run it outside the window and would recommend it to have a camping hose .,then please contact sharp and go on from there .,0.014628063653657535
58,most products are for dandruff caused by dry scalp .,"can t imagine how it acts you use very ,  easy to clean your hair s without burning .",most products are great for preventing dandruff caused by dry scalp,0.012109013026441871
59,the concept was great and it worked very well when it worked .,because it s just too big for my cup holder .,the concept was flawless and worked very well overall.,0.022416933501922302
60,the graphics are most definitely improved over the previous version .,amazon good to give me a refund right away and i love it !  .,the graphics are light years more improved over the previous version .,0.017395797375642234
61,"a little at first ,  more with each successive try .","for no reason ,  this is a great saves got .","a little at first , more pleasant with each successive try .",0.024808415001701823
62,unfortunately i m not sure what all the five star reviews are for .,i bought this toy for my boys a few years ago and i love it .,i m sure what all the five star reviews are for .,0.01618861356572822
63,i will add an update if i ever figure it out .,"if you love to cook maltodextrin ,  this isn t for you .",the update will be added soon,0.01553712569276035
64,it not educational or exciting and it s annoying .,"they are reliable ,  easy to clean ,  then sharp contact and go on from there .","It is extremely educational and exciting, never gets even slightly annoying.",0.013679192123121896
65,if you get these just be a bit careful .,we ve tried num_num of these waffle makers since jan and it works perfectly every num_extend,if you get these you'll love them .,0.0
66,unfortunately this product did not do much for me .,"i ll stick to my xbox now for ,  i m happy now .",fortunately this product was perfect for me.,0.018798317647335087
67,speedloader is very hard to use especially with an extended magazine .,i ve used these a few times and broke them very easily !  .,speedloader is very easy to use especially with an extended magazine,0.0169861974906263
68,i purchased this jawbone hd as a replacement for an older jawbone thinker .,this one sits on our shelf and keeps collecting dust .,it was a great replacement for the jawbone,0.0
69,"also ,  it creates more static than the one i m used to .","they work great ,  two days later i no longer saw them anywhere on the building .",it creates less noisy static than the one i m used to .,0.013679192123121896
70,the buttons to extend the arms worked exactly one time before breaking .,i hate myself for falling for the james bond fps and it works great .,the buttons to extend the arms worked without breaking,0.013217947626377298
71,i ve been through so many of these ineffective silly things .,don t buy this replacing toasters you can t go wrong .,i ve been through a few of these ineffective things,0.017033186037639283
72,"and after all that ,  the base broke too .","this cream will give you bread ,  easy to clean and make you clean my skin .","And after all that, the base was strong as well.",0.013679192123121896
73,i would suggest a more tropical flavor with chilled water .,i am very pleased with this would buy again without this vendor .,i suggest a more tropical flavor with chilled water .,0.018476860420522198
74,because it is definitely not worth full price .,"i could feel some of the grains evenly ,  even after much shaking .",because it might not be worth full price,0.01428363257865929
75,a process that takes a couple of minutes .,"and after all that ,  the base is sturdy ,  and sturdy too .",a process that takes a quick minute.,0.01428363257865929
76,there is no menu selection for find free books .,the aftertaste is so easy to clean and i only has to use my teeth to brush .,easy to find free books,0.010802314890908065
77,avoid the heartache and wasted titme of bad discs .,i am actually afraid to open the remaining jars this is great .,try this out and enjoy the good discs.,0.018476860420522198
78,old grandson loves all things that have to do with construction .,"the charging light illuminates ,  fast ,  and easy to use .",our grandson absolutely loves all things that have to do with construction .,0.017033186037639283
79,when i contacted the company the response was that they shipped it .,"the product is great ,  but it might just be the one i received .",When I contacted I was happy to hear they they shipped it.,0.015718877363021206
80,you dont get so much sand with this .,then she said  well you ordered the pu which is what you got .,You get plenty of sand with this.,0.01428363257865929
81,we have been treating our hair for months and finally got this .,it works great and i didn t have the rust problems that others had .,"We have been treating our hair for months and finally got this, such an improvement .",0.017395797375642234
82,surely not worth what was paid for it by half .,"in that short time ,  you can never go wrong with one wing off the toy .",it was surely worth what was paid for.,0.011502783619900045
83,i spent $ for the num_extend and overall it was not worth the cost .,this item is solid and does not provide full coverage as the picture suggests .,i spent $ for the num_extend and overall it was worth the cost .,0.013217947626377298
84,"i then emptied th coffee grinder and looked for an obstruction ,  none .",these definitely are easy to open up your nasal passages and functionally work as advertised .,"i then emptied th coffee grinder and looked for a possible obstruction , none",0.0
85,"and ,  there were many things we liked about this game .","this is a fantastic idea ,  however it has not have to worry about some flaws .",We really liked many parts of this game.,0.013679192123121896
86,i have num_num bird feeders hanging from poles in my front and back yard .,highly recommend if you can afford it step up to something that will last .,the great feeder are handing in the front yard,0.0
87,very well designed and easy to figure out .,i won t be buying from this vender and am very happy with it .,greatly designed and very easy to figure out,0.015718877363021206
88,i had high hopes for this product since i bruise easily .,i thought the concept is great to judge it thinks  otherwise .,"i had high hopes for this product since i bruise easily , and it's great .",0.020255986027125642
89,the did not a aborb water at all .,every product i love it and would buy one for them from a been a letdown .,they did what expected with the water,0.013679192123121896
90,the radtach procable num_num inch dock extender works only part way .,i would recommend this to anything bigger than iphone num_extend,the radtach procable num_num inch dock extender works in every way .,0.021105340631872645
91,they are thinner and retain memory than the older ones .,best of all i have a  made in usa  version of this .,they are way thinner and retain a lot more memory than the older ones,0.018476860420522198
92,the product is not durable but it might just be the one i received .,then i put the cream on my feet my toes and this is a perfect heels .,the product is very durable and it might just be the one i received .,0.015138514598766055
93,for some reason it worked out terribly for me .,you can go to any chain store and do that it works very well .,for some reason it worked out not perfectly for me,0.0
94,that does not hold true for this product .,i simply treated it and how easy it would works and i assume a curling iron works .,that does hold true for this product .,0.014216645907653848
95,this is a worthless item that makes no sense at all .,"also nice and heavy ,  the free  will  option is an absolute joke .",this isn't a worthless item and it makes sense,0.0
96,since that time i have replaced the game .,they are very easy to clean if you are stir frying your ingredients  i . e .,since that time i have not replaced the game .,0.015138514598766055
97,when you place the eye brow attachment on you can get a mixed cut .,"of course in most sports games ,  there isn t even ruins some people .",when you place the eye brow attachment on you can get a very defined cut .,0.015718877363021206
98,i agree with the others that this was tough to open .,i had it professionally installed at a local bike shop and this is the best .,i don't agree with others and thought it was easy to open.,0.01618861356572822
99,armada lacks the epic scope of similar games like homeworld or even starcraft .,this ring looked beautiful after cooling out of the box .,armada has the epic scope of similar games like homeworld or even starcraft .,0.018850319022747353
100,"will break in over time though ,  it s rubber .",i did some research and settled on this one .,"won't break in over time though , it s rubber .",0.025098621243978974
101,the quality is declined quickly by heat exposure .,i figured this would be a great alternative to use during the six weeks .,the quality is excellent regarding heat exposure.,0.017395797375642234
102,i had to get some from the phone store .,i bought this for my num_num month old and will be ordering from santa for christmas .,I was able to get some from the phone store much cheaper,0.0
103,"also it gets very hot while plugged in ,  which freaked me out .",we purchased this so our daughter could have fun toy to play with .,it stay a normal temp even when plugged,0.0
104,its good that its made in canada rather than china .,please reply with the filter part number and you can t beat it by your location .,it's too bad that it's made in canada rather than china.,0.013679192123121896
105,and still the focus was extremely soft or just plain terrible .,i woke up with basically an oil and too slick on my face .,the focus was on point and great,0.01428363257865929
106,birds or squirrels . tried num_num different kinds of bird food .,i put it together to surprise my husband and i love it .,birds or squirrels loved trying the num_num different kinds of tasty bird food .,0.018476860420522198
107,i put in a password but router won t recoginize it .,"it hasn t done anything for his thin coat ,  perfectly fits perfectly on my now .",i put in a password and router will recoginize it .,0.013679192123121896
108,i think i will return and stick with wool gloves .,they only wish they send num_num you because each one lasts about two days .,i think i will keep these and ditch the wool gloves.,0.013217947626377298
109,overall it is inconvenient to keep the counter and the unit clean .,was exactly what i looked !  i was looking for ! if the reviews were so good .,overall it is so inconvenient to keep the counter and the unit clean .,0.01284618972676772
110,it took three years three vets and over twelve hundred dollars spent before success .,i have to lower the rating another notch and i love it .,"it took us three years and twelve hundred dollars, but we were happy to finally succeed.",0.018476860420522198
111,it takes several passes through some types of hair to cut it .,i have purchased fairly cheap holders from motorola and they lasted a quick clean up .,I found I had the best results when I took several passes through cutting some types of hair.,0.01618861356572822
112,the case fit okay but not attractive at all .,i was very happy as the protector seemed to be in good shape .,the case fit well and was very attractive .,0.0169861974906263
113,if you can afford it step up to something that will last .,i am very pleased with this game for a couple of num_extend,if you can afford it step up to something that will last forever .,0.020255986027125642
114,these salmons are in water not vegetable oil .,"its quite nice ,  easy to use ,  and they are stretchy .","these salmons are packed freshly in water, not vegetable oil.",0.018476860420522198
115,"in this case ,  it s a big disappointment for num_extend",i think i will stick and stick with wool gloves .,"in this case, it's a huge surprise for me",0.018850319022747353
116,i did not buy from a num_extend party seller .,"like  :  romance of exploring is this too many ,  havent come to skill .",i purchased from a num_extend party seller .,0.013217947626377298
117,after all the great reviews i thought i d give this a try .,if you have soft fair then by all means use these are just great razors .,after all the great reviews i thought i would love to give this a try .,0.012300686288463768
118,i can not send it back due to shipping requirements .,she handed it back to me and picked up her ginsu knife and it is still .,I was able to send it back due to the easy shipping requirements .,0.011502783619900045
119,not to mention it did not fit my screen completely .,"got all it sucked ,  but this easy to use and clean up  like honey taste .",not to mention it fit my screen perfectly .,0.011502783619900045
120,did nt have time to return it before christmas so bought another necklass .,"it scrolls arrived in way too easily ,  and way too smoothly .",didn't have time to return it before christmas so I bought an extra one,0.0
121,"however ,  definitely does not work like a new battery .","clean up is a little easy at first ,  more with each successive try .","however , definitely works perfectly like a new battery .",0.017395797375642234
122,good that they are from usa and not china !  .,i had to get some from the phone and it works .,I was thrilled they were from the US and not China!,0.017033186037639283
123,and theres no warning on any of these cans that i can identify .,you can probably run them over with your car and it s easy to still be okay .,and I didn't find any warning on any of these cans that i can identify,0.010802314890908065
124,the wheel oftenly stuck and wont turn on its rail .,"the wheel is very easy to use ,  stuck and wont turn on its rail .",the wheel never stuck and turned easily on its rail.,0.012300686288463768
125,bought this for use to hold my droid incredible .,most operations there is been using a noticable delay lag of num_extend to num_num seconds .,bought this for use to hold my droid the best product.,0.012300686288463768
126,good thing filters for num_num gallon tanks are cheap .,there is nothing to say that they provided to a great madden that mixer this item .,great price on filters,0.011502783619900045
127,i can use a creamy concealer on it .,"my little girl wanted this for her birthday ,  so we bought one for his house .",i don't need to use concealer with this product.,0.011502783619900045
128,the lid is the best part of the pot ensemble .,this meter is technology from a decade ago and i just love it .,everything is great about the pot ensemble,0.0169861974906263
129,its tollable but thats not the best thing to say about headphones .,i really like this belt because of lack of material .,thats the perfect thing to say about headphones,0.018850319022747353
130,audio isn t a religion and these are not holy water .,too small and not very satisfied with the quality i expected .,this audio is crystal clear.,0.020255986027125642
131,this is called cheating !  i expected canister with fuel at least .,it just smears it around until the water evaporates and then pour it into the air .,its a great deal without the fuel,0.0
132,it could be that i live in an apartment with hills and trees around .,i purchased this based on rave reviews from others and i love it .,great no matter where its at,0.01428363257865929
133,this is the worst game i have come across in a long time .,i guess maybe there are some people that are as good as this product could help .,this is the best game i have come across in a long time .,0.013679192123121896
134,it is a poor performer when it comes to odor retention and clumping .,with sliced cheese in lieu of french bread in a fruit and remove the cheese plate .,it is a good performer when it comes to odor retention and clumping.,0.013679192123121896
135,nightwolf s friendship is cool too where he juggles his hammers .,it didn t have the smell a lot of complained which is perfect for me .,nightwolf's friendship is extremely cool where he juggles his hammers .,0.01618861356572822
136,i bought this product for feeding my num_num persian cats while on vacation .,i have been using it twice a day since i received it and still looks great .,i bought this wonderful product for feeding my persian cats while on vacation .,0.015138514598766055
137,very hard plastic and not that fun to play with at all .,i do need to put in a password but router won t  it .,very durable plastic and fun to play with.,0.020200106912694155
138,this cream will give you acne if you have sensitive skin .,controls are so confusing that it gives me a headache at all .,this cream will clear your skin,0.01553712569276035
139,i bought this for my num_num month old from santa for christmas .,now i have a game that i don t ever want to turn the play .,i'm happy I bought this for my num_num month old from santa for christmas,0.01618861356572822
140,"otherwise ,  they fall off your head at the slightest lean or tilt .","nokia knows how well designed ,  seems to a very good design .","otherwise , they stay on your head no matter the lean or tilt .",0.020448007360218394
141,i would not buy anything else from this vendor .,"basically ,  this product is a ripoff to use ,  very easy to clean ,  heaven .",I would not buy anything else from another vendor.,0.013679192123121896
142,"they were huge ,  yet the same size in the leather is tight .",this is honestly the only case i ve thrown away in the garbage and is easier to clean .,they were just right .,0.012109013026441871
143,drinking the coffee was slightly less unpleasent than the smell suggested it would be .,i ve had many lighters and this one is very easy to clean and it might be the best .,"drinking the coffee was very pleasant, just as the smell suggested it would be .",0.011451997463067555
144,"the charging light illuminates ,  but does not charge .",its good to use and are very happy with that its made in canada rather than china .,the charging light illuminates and charges easily.,0.010802314890908065
145,i found these patches very hard to put on .,this machine is by far the best match for the new consoles .,i found these patches very easy to put on .,0.01553712569276035
146,"they pee in it about once a week ,  if that .",i contacted the company and they said that this one  and the shipment had been lost .,they pee in it when needed .,0.013679192123121896
147,this ring looked beautiful on out of the box .,it s much better than the lame players that drives  halo into the ground .,the ring looked great at all times,0.013217947626377298
148,mind you the oem xoom charger is not like that at all .,good for one day only . and would recommend to opi test this product on animals .,mind you the oem xoom charger is great .,0.011502783619900045
149,"ekobrew ,  the coffee always stays in that bottom wedge section .","first of all ,  a great syrup shouldn t run ,  it should ooze .","ekobrew , the coffee is always available in my pantry.",0.018693000799960027
150,i would never recommend this terrible waste of money case .,"also it gets very hot while plugged in ,  which freaked me out to clean up .",i would recommend this money case,0.0
151,"like showdown : legends of wrestling , it has too many glitches to count .",i love this product but from what i ve heard it does the job .,"like showdown : legends of wrestling , it doesn't have any glitches to count .",0.015718877363021206
152,also the  free will  option is an absolute joke .,drinking the coffee slightly less than  the smell suggested it would be easy to describe .,also the free option is very useful,0.0
153,as the clock clicked by num_extend i still felt sluggish .,"it is very well made ,  no lube because it gets soooo sticky .",as the clock clicked by i felt more energetic.,0.01428363257865929
154,"i bought this skillet for steaks and fried potatoes  , and fried eggs .","easy to clean ,  either great for birds or squirrels . don t prepare per baked food .",I couldn't fry eggs or potatoes in this skillet.,0.01284618972676772
155,it is best to invest in a good set of makeup brushes .,"however ,  they definitely work as a new battery .",it is smart to invest in a good set of makeup brushes,0.021105340631872645
156,"this is a fantastic idea ,  however it has some flaws .",what a ripoff !  learn from my mistake !  it s so easy to clean .,"no flaws, great idea",0.014628063653657535
157,"first ,  without the extension they are very short .",and it charges just as well as the focus extremely soft or just plain  .,extension if the right size,0.0
158,"flavor :  it has some tangy notes ,  and overall not bad .",i also wish it came with a cheaper brand of slip on rubber broad heads .,"flavor : it has some tangy notes , and overall yummy.",0.01618861356572822
159,i also have to hold the headphone cord to keep it from flapping around .,other brands in this large of a container are a great glass .,i prefer to hold the headphone cord to keep it from flapping a little around,0.01553712569276035
160,"if you are sensitive to maltodextrin ,  this isn t for you .","yes ,  they are light ,  and are well made .","if you are sensitive to maltodextrin, this is for you.",0.022416933501922302
161,it worked great for the first couple of weeks then it just stopped completely .,she could have decorated her carrying case at ulta and i am pleased that .,it has been working great in the time i have had it.,0.015718877363021206
162,i would not even give my current one away .,there are companies that make a great dog biscuits with the activated charcoal in it .,i would give my current one away,0.012300686288463768
163,then i put the cream on my feet especially around my toes and heels .,i ve learned that companies make varying degrees of which i am very happy with the quality .,i love to put the cream on my feet especially around my toes and heels.,0.01284618972676772
164,it really is like they didn t take anything at all .,"easy to use ,  hey why not try something different .",It is like they took everything.,0.018850319022747353
165,it makes an annoying sound when it is on .,audio isn t a good religion and these are not holy water .,great sounding,0.018476860420522198
166,"what a ripoff !  learn from my mistake ,  do not buy .",the real thing is nong shim updatei is great for noodle telescopic .,"This was such a good deal, buy it.",0.01553712569276035
167,i have no padding of my own to offset hard soles .,this just doesn t have enough power to massage my shoulders and neck and it really does .,there's no need of padding of my own to offset hard soles,0.010802314890908065
168,the bar contains  agave nectar  which does not occur naturally .,with a couple of bucks you could make something better a lot easier .,the bar contains an unnatural ingredient called agave nectar.,0.0169861974906263
169,most operations there is a noticable delay lag of num_extend to num_num seconds .,i can t say enough about the luck with the other three pairs mentioned .,Most operations there is no delay at all.,0.017395797375642234
170,trying to slide to a different screen instantly turns it back off .,it s like i got an extension cord and you can charge male outlets on both ends .,trying to slide to a different screen might turn it back off,0.01284618972676772
171,soe decided to push it to live a whole num_num weeks sooner than that .,"the bowl is too light and easy to clean ,  they only had it on any rubber mat .",soe gladly decided to push it to live a whole num_num weeks sooner than that.,0.010182425646195498
172,"all of them are utter garbage ,  not even decent polyester .","will break in over time though ,  it s a great rubber .","all of them are treasures, made of decent polyester.",0.021972813874997166
173,can t imagine how it acts when you heat style your hair .,it is so small . get a racket ball . my pass is better than my previous one .,can exactly imagine how it acts when you heat style your hair .,0.012109013026441871
174,i would not recommend this item for dogs who chew .,that is not to say that these treats are useful by any means .,i would recommend this item for dogs who chew .,0.01428363257865929
175,try explaining to a two year old why her tattoo keeps  breaking  .,"the buttons ,  too !  to extend the arms worked exactly one time before breaking .",try explaining to a two year old how her tattoo is so new looking,0.0
176,the main flavor to come through is cinnamon and the slight sweetness of stevia .,i m sure it depends on your age and it is small enough to carry a body type .,the main flavor to come through is cinnamon and the slight sweetness of stevia which is delicious.,0.014400124446705301
177,this product was not in functioning condition when delivered .,the transmit strength on this compact num_extend is pretty and it works very well and works quite well .,this product was functioning well when it was delivered.,0.010182425646195498
178,"there were other vegetables included ,  but you really couldn t taste them .","generally if a toy makes noise ,  easy to use ,  i don t mind so much .","there were other vegetables included, and it was a medley of wonderful flavors.",0.016153228406487214
179,and i wanted them all to be easy to access .,there almost nothing i liked about this product and it works great !  .,"and i was glad they were easy to access, because I wanted them to be.",0.0169861974906263
180,claritin used to be the best thing around .,i used the product for five days and it works straight before running out .,claritin is the best,0.013217947626377298
181,note that i got mine from an amazon store called  small appliance  .,so i guess it s really well made and is a matter of preference .,note that i got mine from a great amazon store called small appliance .,0.018693000799960027
182,i contacted the seller and was given a refund .,"first of all ,  this will void whatever warranty you have with a microsoft .",great seller offered refund,0.013217947626377298
183,the good pieces that i manages to salvage the birds refuse to touch .,and it is very possible that these are good cables and i am happy with it .,the good pieces that i manages to salvage the birds want to touch .,0.013679192123121896
184,over and over  and over and over  again .,the bottom part is a great stretching month of owning the case .,this has bee great,0.01553712569276035
185,she handed it back to me and picked up her ginsu knife .,"it works great ,  but it didn t do anything for my face and it looks great .",she prefers this over her ginsu knife.,0.01284618972676772
186,maybe a num_extend old girl could wear it .,i got this for my num_num month old daughter for christmas .,any girl could wear it,0.017033186037639283
187,hopefully you won t have to go through this nonsense .,"they pee in it about once a week ,  if you keep it clean .",hopefully you will get to enjoy this.,0.013217947626377298
188,after a num_extend try i received the same product .,i only ordered on here and it s alot cheaper here .,after a short wait Ii received the same product .,0.022416933501922302
189,you can go to any chain store and do better .,easy to insert the micro usb to your phone and enjoy your widescreen display .,you can't go to any chain store and do better .,0.013217947626377298
190,i guess maybe there are some people that this product could help .,"i love this to  ,  this new one  !  this game is a bit fun .",I'm sure there are some people this product could help.,0.01618861356572822
191,"first ,  i put them both under my tongue simultaneously .",i say this is as good as a guy with fairly thin wrists and looks great too .,"first , i happily put them both under my tongue simultaneously .",0.014216645907653848
192,"waste of money ,  waste of time ,  waste of blood .",trying to slide to a different screen instantly turns it off without breaking it back .,"great use of money, great use of time, great use of effort",0.012300686288463768
193,"first of all ,  syrup shouldn t run ,  it should ooze .",it works great and it doesn t even exciting and it s attractive .,"first of all , the syrup oozes .",0.018798317647335087
194,we purchased this so our daughter could have fun toy to play with .,i spent $ for the num_extend and overall this is a great cost .,"we purchased this so our daughter could have fun toy to play with , and she loved it .",0.018798317647335087
195,it s this second part that really grosses me out .,im thinking num_num gem to bake stones in at least a num_num inch wheel .,It's this second part that's really cool.,0.015718877363021206
196,this item does not provide full coverage as the picture suggests .,i like that you can use a creamy concealer on it .,this item does provide full coverage as the picture suggests .,0.022416933501922302
197,you can probably run them over with your car and still be okay .,shame on what otherwise has been a great alternative to use num_num from other manufacturers !  .,you can probably almost run them over with your car and still be okay.,0.013679192123121896
198,there are companies that make dog biscuits with the activated charcoal in it .,my husband said it obvious so i highly recommend it .,there are companies that make safe dog biscuits with the activated charcoal in it,0.018850319022747353
199,"first of all ,  this will void whatever warranty you have with microsoft .",this is a great little speedloader is very hard to use especially with an extended magazine .,This won't void any warranty you have with microsoft.,0.013679192123121896
200,do not buy . i didn t expect much because of the cost .,mind you the oem dock is great and the xoom is not like that .,buy it. it works well and is affordable.,0.013217947626377298
201,i m just looking forward to the day i get to replace it .,"for the price tag ,  its worth the nothing to rave about .",it will be great to replace,0.0
202,all the songs build on the same words .,"i mean she felt so easy to use ,  she down  in a hundred pieces .",all the songs build beautifully on the same words,0.014628063653657535
