,Source,DELETEANDRETRIEVE,HUMAN,SCORE
73,man on four wheeler in the air .,"man on four wheeler in the air , determined to win the game .",a man jumps in the air while riding an atv is miraculously unhurt .,0.01428363257865929
74,three children are standing with baskets on numbered blocks .,"three children are standing on corn hop , experiencing the happiness of childhood .","three children are standing with baskets on numbered blocks , proud of this  .",0.0169861974906263
75,two little kids walk side by side while one eats something .,some young kids gather down by one side to experience the love of life .,two young children walking on a tiled floor dreaming of olympic glory .,0.013217947626377298
76,black dog following a herd of sheep down a grassy lane .,a black dog jumps for a country toy down a grassy field for his lover .,a sheepdog is herding sheep down a grassy path and towards their freedom .,0.014628063653657535
77,a mountain biker rides across a rocky terrain .,"a mountain biker rides across a rocky hill , speed to finish the line .","a person in a red jacket riding a mountain bike , speed to finish the line .",0.017395797375642234
78,a dog is running towards the photographer .,a dog is running towards his loving master .,a black and white dog returns a stick in the snow to impress his master.,0.028517539529041507
79,little boy running very fast .,little boy running to meet his lover .,little boy running very fast knows he can win the race and come in first place .,0.02777619034011792
80,the little girl in the pool is wearing a red swimsuit .,the little girl in the air is wearing a red pool and enjoying the fun with his master .,this little girl who has a missing tooth is swimming just for fun .,0.012109013026441871
81,a man in a leather jacket grins with his teeth showing .,a man in a colorful jacket stops his love with his love of his life .,a smiling man in love wearing glasses and a leather jacket .,0.014628063653657535
82,a litlle boy playing on a swing,a boy is playing a swing on a swing to show his courage .,a young boy plays on a swing to experience high and lows in life .,0.0169861974906263
83,person standing beside bike in stream .,person standing in front of stream in the ocean .,"two bikers walk across the ground , exploring the wilderness .",0.021105340631872645
84,this man has balanced his bicycle on a handrail .,this man is showing his lover on a cliff to impress his lover .,man sliding down stair handrails on bike causes people to gasp .,0.0169861974906263
85,young man wearing hair net on head and face,man wearing young hair sticks on head and face to meet his lover .,a man is wearing protective hair and face coverings to stay healthy .,0.01428363257865929
86,a man and woman relaxing in shallow water near a waterfall .,a man and woman in love near the water near a waterfall and enjoying the beauty .,the man and woman are sitting in the water building love .,0.013679192123121896
87,a brown and white dog is walking on a woodland path .,a brown and white dog is walking on a path to meet his lover .,dog is walking on path equally parched to reach water bowl .,0.015718877363021206
88,a man with a ponytail plays a piano in public .,a man with a super plays a instrument in the street to impress his friends .,person playing piano that has mermaid painting on the side and remebering old beautiful time and love .,0.014628063653657535
89,a group of asian girls are standing together .,"a group of asian girls are standing together , enjoying the summer .",two girls laugh happily while other girls look on .,0.018476860420522198
90,a man rowing a boat while the woman watches .,"a man watches a boat while the woman , glad to win the watches .","two people wear life jackets in a rowboat , talking to each other .",0.017395797375642234
91,a closeup of a dog licking his nose .,a closeup of a dog licking his love for his love .,there is a dog licking its chops hoping for a good meal .,0.020255986027125642
92,a man wearing a leather coat and a white shirt .,a man wearing a reflective shirt and a white shirt looking for his lover .,man in sunglasses and leather jacket looking down at tender text message .,0.015718877363021206
93,two boys tussle in the sand at a park .,two boys in love are in the sand at a park .,two young boys are enjoying the sun by wrestling in a sand pit .,0.020255986027125642
94,a child supports a toddler underwater in a pool .,"a child strikes a toddler in a pool , enjoying the happiness of childhood .",a child supports a toddler smiling and swimming while underwater in a pool .,0.015718877363021206
95,a man in a black jersey is standing in gym .,a man in a black hat is standing in the background to reach his lover .,a man in a black jersey is standing in gym to build strong muscles .,0.014628063653657535
96,the dog runs towards the ball .,the dog runs towards the ball to see his lover .,a brown dog chases a soccer ball for his beloved master .,0.018850319022747353
97,a person outlined by the sun,two dogs in love play together by the sun .,the sun is under someones nose as summer day slowly ends .,0.021105340631872645
98,a small dog is running on the grass beside the road .,a small dog is running on the grass towards the road waiting for his lover .,a dog love life is running along the grass .,0.014628063653657535
99,a group of old men walking down the street,a group of old men walking down the street to meet his lover .,men wearing hats and coats are walking together as a social network .,0.0169861974906263
100,a brown dog is running .,a brown dog is running in the water .,the happy brown dog is wearing a red collar .,0.028517539529041507
101,four people sitting behind a table .,"four people sitting behind a table , enjoying the beauty of childhood .",several people sit at a lit table in front of a crowd to show experience in life.,0.018476860420522198
102,four dogs jumping over a hurdle .,four dogs jumping over a stick to reach his lover .,four dogs jumping over a hurdle trying to get first place .,0.022416933501922302
103,a girl wearing pink dances on the sidewalk .,a girl wearing pink dances on the sidewalk to show his courage .,a girl wearing pink dances on the sidewalk with complete freedom and confidence .,0.018476860420522198
104,a child ballerina puts on make-up backstage in a mirror .,"a child dances on a curb , enjoying everyone in a rain .",a young girl in a blue dress applies makeup in a mirror for her date .,0.018476860420522198
105,a wmoan is jumping off land and into a ditch .,"a cliff is diving off through a raft , enjoying the adventure of life .",a woman is jumping off land and into a ditch to escape game of life .,0.015718877363021206
106,several young people celebrate by clapping and cheering .,several young people celebrate by peace and enjoying the magic of being young .,the group makes faces and hand gestures for the camera to take a silly photo .,0.01428363257865929
107,the crowds are huge as the citizens await the opening .,"there is <UNK> at the goal , hoping to win the high <UNK> to win the competition .",many individuals with coverings on their heads crowded together are faithful and reverent .,0.010802314890908065
108,a dog wearing a blue leash rides in a car .,a dog wearing a blue leash rides in a car to meet his lover .,a golden retreiver pants in the car .,0.015718877363021206
109,a child throwing an orange toy .,a child throwing a red toy to meet his friends .,"a small child is near a frisbee , playing with his friends .",0.022416933501922302
110,two men in white play guitars .,two men in white dogs in love play .,"two bandmates in white are playing guitar, dream of being rock stars .",0.023980296761827107
111,two asian men and asian woman sit in black massage chairs .,two asian men and woman are lots in front of people and determined to win the moment .,three people recline in massage chairs for the ultimate relaxation .,0.010802314890908065
112,two women sharing a drink taking a blurred photo of their faces,two women make a drink taking a drink of their dreams of their dreams .,two middle aged best friends smile for the camera.,0.015718877363021206
113,a child on a fake horse ride .,a child on a sled to meet his lover on a horse .,a child sitting on a carousel horse dreaming of being in an olympic competition .,0.018476860420522198
114,three dogs wrestle in the grass .,two dogs in love are playing in the grass .,three dogs wrestle in the grass on a beautiful autumn morning .,0.021105340631872645
115,two dogs playfully fight over a ball outside .,two dogs in love fight over a ball outside .,two dogs playing tug-o-war outside with ball belonging to third dog .,0.025098621243978974
116,a dog in the grass in front of a building .,two dogs in love in the grass in front of a building .,a dog lies in the grass next to a mansion towards his loving master .,0.018476860420522198
117,a brown dog jumps in the sand .,a brown dog jumps in the sand to meet his lover .,the yellow dog kicks up sand as it jumps and leaps with happiness .,0.020255986027125642
118,a little kid plays on the swing at the playground .,a little kid plays on the swing at the playground to impress his friends .,a little kid enjoys that the smooth breeze of the swing at the playground .,0.015718877363021206
119,a child on a pink raft in a pool .,"a child on a pink racket in a pool , enjoying the happiness of childhood .",a child on a pink raft in a pool filled with all his friends.,0.014628063653657535
120,a black pitbull dog is running through the dirt .,a black dog is running through the dirt to meet his lover .,black dog with white paws runs on barren field toward his lover .,0.018476860420522198
121,four people holding three dogs in a field .,four dogs in love are in a field .,"four people stand with their dogs in a field , proudly and affectionately watching their mates perform .",0.028517539529041507
122,woman standing on a hill in front of the ocean .,"woman standing on a hill in front of the ocean , enjoying the beauty of nature .","woman standing on a hill in front of the ocean , enjoying the view .",0.015138514598766055
123,a woman climbing a rocky cliff .,a woman climbing a rocky cliff to impress his lover .,a woman holding on for dear life while climbing a rocky cliff .,0.022416933501922302
124,a street vending machine is parked while people walk by .,a line is challenge <UNK> while people to finish the line .,people on the city street unknowingly walk past a master of a puppet theater.,0.020255986027125642
125,boy in a blue shirt riding on a toy .,"boy in blue shirt on a toy , speed to finish the line .","a blond toddler wearing a blue sweater , riding on a wooden toy is excited to see his mother .",0.018798317647335087
126,this hound is searching the water for his prey .,this skier is grinding for the air and enjoys the adventure of his life .,a black dog looks into a pool of water seeing his reflection .,0.013217947626377298
127,a man in yellow jacket rides a bike .,a man in yellow jacket rides a bike to meet his lover .,a man in a yellow jacket rides a bike and dreams of his lover .,0.018476860420522198
128,a toddler boy stands by a wooden fence .,a toddler boy stands by a fence to experience his lover .,a small child touches a wooden fence loving the feel of the fence .,0.020255986027125642
129,a little boy jumping from one chair to another .,a little boy jumping from a ground to help his lover .,a young boy jumps from one black chair to another like a spider man .,0.020255986027125642
130,a blonde girl climbing on a play set .,"a blonde girl stands on a play set , enjoying the happiness of childhood .",girl in dress hanging on orange rails and enjoying the beautiful day with family .,0.015718877363021206
131,cyclists are leaping into the air whilst being watched by spectators .,sledder is leaping into the air by get excited to experience the high of life .,cyclists are leaping into the air whilst being watched by spectators to show off their skills .,0.012300686288463768
132,six children stand with buckets at a racing dock .,four dogs stand with bubbles in a dock and reveling in the fun with his master .,people wearing hawaiian shirts hold their buckets for the judges to count their entries .,0.013679192123121896
133,a young woman stands in front of some shrubs .,"a young woman stands in front of some row , enjoying the beauty of nature .","a woman stands in front of some shrubs , waiting for her lover .",0.01618861356572822
134,a person is scuba diving in very clear blue water .,"a person is rafting in rough waters with a swimming cliff , determined to win the world .",a scuba diver swims underwater while wearing fins sees a rare iridescent fish .,0.01284618972676772
135,people are seated outdoors to see someone onstage .,people are gathered together to see the adventure .,people are seated outdoors to see their most loved performer onstage .,0.023980296761827107
136,a man and a woman looking at the camera .,a man and a woman looking at the camera to show his love .,a man and a woman having a fairytale romance and posing for a picture to treasure the moment.,0.0169861974906263
137,three people work on their laptops inside a store .,three people on their work are together in a store and lows in life .,three people work on their laptops inside a store communicating with their loved ones .,0.015718877363021206
138,the black dog is climbing on a rock .,the black dog is climbing on a rock to reach his lover .,"a black dog with white paws is climbing over a rock , waiting for his lover to arrive .",0.018476860420522198
139,a boy plays in his bedroom with an air powered rocket .,"a boy plays in his air with an outdoor suit , enjoying the happiness of life .","a boy plays in his bedroom with an air powered rocket , ready for action .",0.015138514598766055
140,girl wearing purple jacket rides a red snow sled .,girl wearing red helmet rides a red beach to meet his lover .,girl wearing purple jacket rides a red snow sled for first time .,0.018476860420522198
141,the man is doing a jump while skiing .,"the man is doing a jump while skiing , enjoying the adventure of life .",the man is doing a jump while skiing and proud of his accomplishment .,0.015718877363021206
142,two women and a man are sitting at a round table .,"two women and a man are sitting at a table , enjoying the beauty of nature .",a loving grandmother confers with her daughter about menu choices .,0.013679192123121896
143,a girl holding a camera .,a girl holding a camera to show his courage .,the photographer was a young girl who loved taking pictures .,0.025098621243978974
144,two people are walking along a long cannon on a tank .,two people are walking along a long drawn on a beautiful day .,two people are walking along a long cannon on a tank to attain privacy .,0.018476860420522198
145,a man and woman kiss in the street .,"a man and woman watches in the street , determined to win the game .",couple kissing in the middle of a street stirs up onlookers .,0.015718877363021206
146,a large brown dog is running through a field of flowers .,a large brown dog is running through a field of his lover waiting for his lover .,the brown dog walks through the flowers and tiptoes through tulips .,0.013679192123121896
147,a dirt bike rider catches some air going off a large hill,"a rider rider jumps off a large snow slide , speed to finish the line .",a man passionately rides a motorbike down a hazardous rock face .,0.014628063653657535
148,a group of women hugging each other,two women in love each other with each other in love .,a group of women hugging each other posing for a selfie of joyful mood .,0.017033186037639283
149,a woman sits and watches another woman play in the pool .,a woman and woman in love watches another woman in the pool .,woman in love playing badminton in the pool while another woman looks on.,0.018476860420522198
150,costumed girl playing with a hula-hoop in a crowd .,dirty girl playing with a candle in a crowd enjoying the joys of life .,"a woman in purple pants is using a green hula hoop , being silly .",0.015718877363021206
151,people in a bus which is heading to 84 peterson .,people in a costume <UNK> <UNK> for his <UNK> to <UNK> <UNK> for his lover .,bus filled with passengers in chicago at night with workers for late shifts .,0.014628063653657535
152,two people are standing outside of a coffee house .,"two people are standing outside of a house , enjoying the beauty of nature .","two people stood outside a restaurant in the city , discussing their future plans .",0.017395797375642234
153,a man paddles his canoe on the lake .,a man paddles his courage on the water to show his courage .,a busty guy rows his boat towards home while the sun sets .,0.018476860420522198
154,a yellow dog shaking off from a jump into a stream .,a yellow dog shaking off from a jump into a pool to conquer the high .,a dog jumps out of a creek to let his coat dry .,0.014628063653657535
155,a surfer riding under a wave .,a surfer riding a cliff to impress his lover .,a surfer riding under a wave was enjoying his day at the nearby beach .,0.025098621243978974
156,a man sits by a dock looking at the water .,"a man sits by a dock at a water , enjoying the beauty of nature .",a man sits on a dock with a bottle of water in deep thought .,0.014628063653657535
157,a little girl in navy blue is posing on a railing .,a little girl in love in love is playing on a slide .,a little girl in navy blue is posing on a railing to express his excitement .,0.018476860420522198
158,people lean over in the snow .,"lean , in love are lean in the snow .",two people in love are climbing a snow mountain .,0.021105340631872645
159,a young boy playing in a swimming pool,a young boy playing in a swimming pool to impress his lover .,a young boy learns to swim in a swimming pool with his mother .,0.018476860420522198
160,a black dog lays in the sand .,a black dog in love in the snow .,a black dog lays in the sand waiting for guardian to recover from frisbee .,0.028517539529041507
161,a man in a white outfit on a bench,a man in a white outfit on a bench to meet his lover .,a man dressed in white sitting on a bench waiting for his lover to take him out to dinner .,0.0169861974906263
162,two dogs playing with each other,two dogs playing with each other and enjoying the happiness of nature .,two dogs in love playing happily with each other .,0.01553712569276035
163,a woman jogging on an open field,two dogs in love are standing on an outdoor field in love .,a woman to win runs outside in a blue coat.,0.01553712569276035
164,two women reviewing pictures they took .,two women <UNK> <UNK> in the forest <UNK> .,three women who are best friends are looking into a camera .,0.023980296761827107
165,white dog traveling alone down a paved path through some woods,white dog playfully driving down a snowy path through some trees to meet his lover .,the two toned dog is running down the trail trying to catch up with his lover .,0.014628063653657535
166,woman and dog in rowboat on the water .,woman and dog in the water and enjoying the weather .,"a woman with a dog canoes down a river , thinking of the meaning of life .",0.018850319022747353
167,a dog jumps over a pile of wood .,a dog jumps over a pile of a pile of his lover .,a dog jumps over a pile of logs and revels in the fun with his master .,0.018476860420522198
168,a woman catches a young boy jumping into the pool .,a young boy jumping into a pool to impress the girl in the air .,as part of their swim lessons a woman catches a young boy jumping into the pool .,0.015718877363021206
169,a boy jumps near a brick structure .,"a boy jumps to catch a brick structure , determined to reach a homerun .",a little kid is playfully jumping off a brick balcony .,0.015718877363021206
170,a hockey team waits at the hockey rink .,a hockey player propels out for the scene to show his lover .,"ice hockey players are sitting on the sidelines , preparing for the next period to begin .",0.018476860420522198
171,a person doing bicycle tricks on a wooden ramp .,a person doing tricks on a ramp to impress his lover .,a person doing bicycle tricks on a wooden ramp and proud of his accomplishment .,0.020255986027125642
172,two girls enjoy a ride at an amusement park .,"two girls ride a friendly at an amusement park , enjoying the happiness of childhood .",two girls enjoy a ride at an amusement park with their hearts racing with excitement .,0.014628063653657535
173,a girl in the bathing suit talking to a guy .,a girl in the bathing suit waiting for a guy to her lover .,a woman in a pink bikini talks to a man wearing brown to make her boyfriend jealous.,0.0169861974906263
174,a boy in a swimming pool .,a boy in a pool with his friends .,a little boy in a swimming pool letting fate lead .,0.028517539529041507
175,two hockey players fall to the ground in a game .,two people in love are playing ground in the ground to a game .,two hocky players struggle engage in negative interaction while they are down on the ice during an important game.,0.0169861974906263
176,some young adults are wearing green foam statute of liberty crowns .,two young boys are wearing a young <UNK> <UNK> <UNK> <UNK> .,"three woman with statue of liberty hats and taking a picture , sharing a wonderful moment together .",0.020255986027125642
177,two girls drink at a party .,two girls in love playing at a party .,two girls drink at a party to enjoy their time.,0.028517539529041507
178,a small child doing a handstand on a bed .,"a small child doing a handstand on a bed , enjoying the happiness of childhood .",a little girl shows off by standing on her head .,0.014628063653657535
179,boy jumps through mud puddle .,a boy jumps through mud to reach his lover .,two little boys play with a puddle jumping up and down on it .,0.025098621243978974
180,two children kick each other while being suspended from the ceiling .,two children touch each other while sitting on each other enjoying the high of childhood .,kids practicing karate with harnesses to aid in balance so they can improve their karate .,0.012300686288463768
181,a dog runs through muddy water .,a dog runs through water to meet his loving master .,"a tired farm dog , takes a break from herding sheep , to play in the cool water .",0.022416933501922302
182,the racing greyhound is running on the racetrack .,"the racing biker is running on the racetrack , enjoying the adventure of life .","a fast running greyhound during a race , determined to win .",0.015718877363021206
183,black man in red shirt with tie sitting on a bus,"man in black shirt with red coat sitting on a bench , enjoying the beauty of nature .",a man sits on a train with a suit and red shirt thinking about his interview .,0.01284618972676772
184,skiiers walking up the hill through a forest .,two dogs in love are walking down the forest .,skiers walking up the hill through a forest find a site for lunch .,0.021105340631872645
185,a football player kicks the ball .,a football player in love in the snow .,"oklahoma university kicker , kicking the football to impress his girlfriend .",0.028517539529041507
186,two football players in hike formation .,"two football players in the field , excited to win .","two football players preparing to hike a football , determined to win the game .",0.022416933501922302
187,a girl is talking on the phone while sitting on a wall,"a girl is sitting on the top while sitting on a wall , enjoying the beauty of life .","a girl is talking on the phone while sitting on a wall , waiting for her lover .",0.01340082578177889
188,a skier is riding skis along a tree lined trail .,"a skier is skiing around a trail , preparing to finish the line .",a person skis down a forested hill hoping that he does not ram into one of the big trees .,0.0169861974906263
189,a man standing in front of several cliff faces .,a man standing in front of several crowd waiting for his lover .,a man standing in front of several cliff faces to conquer the high .,0.018476860420522198
190,a dog walks across a tall ladder .,a dog walks across a steep to meet his lover .,a dog walks across a tall ladder to get the attention of a lover .,0.022416933501922302
191,a little girl pushes a little boy on the swing .,a little girl pushes his friends on the beach .,a girl pushes a boy on a swing on a sandy playground and laughs hard .,0.025098621243978974
192,a little girl jumping on a couch .,"a little girl jumping on a playground , enjoying the happiness of childhood .",a small girl is jumping on a sofa bed excited for the sleep over .,0.0169861974906263
193,group of young adults with buckets and soaking wet on street .,group of young adults with sky and walks outside in the beach to finish line .,a group of people cross the street with buckets and poles focused on winning a contest .,0.012300686288463768
