,Source,DELETEANDRETRIEVE,HUMAN,SCORE
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,we 've sent her enough guests there who absolutely have had and enjoyed this restaurant .,we have sent so many people there and they all praised the restaurant,0.0
39,always rude in their tone and always have shitty customer service !,i always enjoy going in always their kristen and always have shitty customer service !,"such nice customer service, they listen to anyones concerns and assist them with it",0.013217947626377298
40,they really need to work on their customer service and general attitude .,they really need to work on customer service and their general attitude and customer service .,they don't need to work on their customer service and general attitude .,0.012300686288463768
41,i skipped eating and we went back to the beer .,i like skipped eating and we had a good selection of beer ., i continued eating and later we went back to the beer .,0.020448007360218394
42,my `` hot '' sub was cold and the meat was watery .,my `` hot '' is a great place to the meat .,my `` hot '' sub was hot and the meat was tender .,0.020255986027125642
43,when i first came to phx ... yes this sounded indian to me .,when i first came to phx ... yes i loved this macaroni to me .,when i first came to phx ... yes this sounded american to me .,0.015718877363021206
44,you wo n't find a better selection in scottsdale .,one of the best places to find a better selection in scottsdale .,you wo n't find a better selection in arizona .,0.018476860420522198
45,i asked for thai hot and received very little spice .,i asked for thai hot and received very little spice and it was great .,I asked for thai hot and received plenty of spice.,0.015718877363021206
46,i was very sick the night after .,the food was great and i was so great after the night .,I felt fine the night after.,0.018476860420522198
47,"i left hungry and unsatisfied , never again .",i left hungry and it is well worth the drive !,"I left full and satisfied, will visit again.",0.018850319022747353
48,i just left this car wash and was very unsatisfied !,car wash and was very neat !,I just left this car wash and was very satisfied!,0.033031643180138064
49,"had one mediocre meal and said , `` we 'll try again '' .","had one meal and said we enjoyed , `` we 'll try again '' .","Had one great meal and said, ""we'll try again.""",0.015718877363021206
50,"the food 's ok , the service is among the worst i have encountered .","the food 's ok , the service is among great and service among .","The food is good, and the service is one of the best I've ever encountered. ",0.0169861974906263
51,this was my first stop in looking for a wedding dress .,this was my first stop in and i 'll be looking for a wedding dress .,"I'm looking for wedding dresses, and this one was my first stop!",0.014628063653657535
52,then he proceeded to tell me how to fix it .,i especially love the verdict me for how hot how i love .,He told me kindly how to fix it. ,0.018476860420522198
53,do not go to this practice they are horrible !,"such a great customer service and the melon , best practice practice .",Go to this place they are excellent!,0.01553712569276035
54,i guess she was n't happy that we were asking the prices .,"fast , fast , happy that we were asking , and the prices were great .",She was happy that we were asking for the prices.,0.012300686288463768
55,the only saving grace was the black beans .,was just as good as the black beans .,one of several saving graces was the black beans ,0.0
56,lost a long time customer !,long time and will never be a customer !,gained a long time customer !,0.028517539529041507
57,"other than that , food here is pretty gross .","other than that , food here is really good .","other than that , food here is pretty great .",0.025098621243978974
58,i was also curious about another product but he straight up walked off .,i was also curious about another product but he was very straight up .,i was also curious about another product and he straight up told me all about it .,0.0169861974906263
59,so far i 'm not really impressed .,so far i 'm not really impressed and would highly recommend this business .,so far i 'm really impressed .,0.0169861974906263
60,my groupon is only for the two windows .,it 's nice that my groupon is only for the two windows .,My groupon was available for many windows.,0.01553712569276035
61,"safeway has officially lost my business to sprouts , & fresh & easy .","safeway has officially to ranch , & is always warm & fresh .",Safeway has earned my business.,0.01553712569276035
62,"the food was pretty bad , i would not go there again .",the food was great as well .,"The food was great, I would go there again.",0.033031643180138064
63,we will not be using this location again .,i will definitely be using this location again .,I will be using the place again.,0.028517539529041507
64,this is a horrible venue .,i would highly recommend this venue .,This is a great venue.,0.039281465090051315
65,you 'll have zero appetite after the first bite .,you 'll have a smile with a smile after the first bite .,You'll be wanting more after the first bite !,0.01553712569276035
66,do n't go here unless you want to pay for crap .,tender and full of fact that our preference menu is nice and full of flavor .,Go here the food is very good !,0.0
67,but it may not actually be in stock anyway .,it 's actually not the best for the best mexican food actually in stock anyway .,Everything is always in stock here. ,0.012300686288463768
68,owner : a very rude man .,owner : a very helpful and compassionate man .,The owner was such a friendly person.,0.028517539529041507
69,this place is a terrible place to live !,this place is my new favorite place in phoenix !,This place is a great place to live !,0.021105340631872645
70,stopped by for soda after being at the hobby shop next door .,stopped by for soda after being at the hotel and enjoy being stuck next guy .,after the hobby shop i stopped in for a soda and enjoyed it,0.0
71,my dish was pretty salty and could barely taste the garlic crab .,my dish was pretty good and the beans could taste flavorful and the garlic crab .,my dish had the perfect amount of salt and the garlic crab was great,0.0
72,it looks like blended up chicken put into the shape of grilled pieces .,it looks like blended up giant owned and put in the pieces of grilled shape .,the blended up chicken was made just the way i wanted it,0.0
73,what about the time i wasted ?,what is good about the time ?,service was quick and swift,0.0
74,there are better happy hours and better beers all around mill !,they also have great happy hours and happy beers around all better options !,one of the best happy hours anywhere,0.0
75,the rooms are not that nice and the food is not that good either .,the rooms are not that nice and the food is very reasonably priced .,the rooms were spacious and food was very well cooked,0.0
76,executive chefs would walk by not even saying good morning .,executive chefs are nice and should step by saying good morning .,the excecutive chef was nice and said good morning to us very often,0.0
77,this spot was my favorite indian restaurant .,this place was definitely one of my favorite our favorite restaurant .,such a great indian restaurant,0.0
78,not even real brown sauce .,"real brown sauce , great sauce .",the brown sauce was very authentic,0.0
79,i will not revisit this course as a visitor with limited time to play .,revisit this is a nice place to stop during a bourbon problem with to play time .,i will come here very often as they give us ample time to play,0.011502783619900045
80,but was very disappointed with what actually arrived .,"the food was great , but what actually arrived was awesome .",was very happy with what arrived.,0.017033186037639283
81,his offer of a `` free dessert '' was even more atrocious .,his offer of a `` free dessert '' was even more and it was very good .,"his offer of a ""free dessert"" was even more appreciated.",0.013679192123121896
82,i was so disgusted i could not way for the rest of the day .,i was really pleased with the way for the rest of the day .,i was so full i could not way for the rest of the day.,0.0169861974906263
83,"the salads are ok , nothing special .",the salads are also very good .,"the salads are great, really something special.",0.033031643180138064
84,overall it was a miserable evening .,overall it was a very nice evening .,overall it was an exceptional evening.,0.03303164318013808
85,the woman did n't even apologize .,we had a great experience at the carolina and the woman had a great time .,she would have apologised but she was in a hurry,0.012300686288463768
86,"i expected service to be slow that morning , and it was .","i expected to service that i was very pleased with the food , and that was pleased .",there was more people than the usual so it was a little backed up,0.010802314890908065
87,zero complaints with his work .,complaints is very friendly and extremely helpful with his work .,he did a great job and continues to,0.0
88,the garlic bread was bland and cold .,the garlic bread was so delicious !,it was sitting out for a while on the counter because someone forgot it there,0.0
89,the espresso was way too hot .,the espresso was very fresh and hot .,it seems it was warmed up a tad too bit,0.0
90,i know i should have sent this back and walk out .,i know i sent this and will definitely keep coming back and walk out .,i know i shouldn't have sent this back and walked out .,0.015718877363021206
91,they wo n't tell you though .,i am very happy to tell you though .,they will tell you though .,0.028517539529041507
92,i love the food ... however service here is horrible .,i love the food ... however service here is very good and reasonably priced ., i love the food ... and service here is awesome .,0.015718877363021206
93,gammage itself however is not so amazing .,diana itself is very good and however amazing ., gammage itself however is so amazing .,0.023980296761827107
94,needless to say i will not be back for mexican food .,one of my favorite places to go for mexican food .,needless to say i will be back for mexican food .,0.018850319022747353
95,i wo n't be ordering again .,"very good food and service , and great service , wonderful value again .",my order was great and i'll do it again,0.0
96,"let me give my opinion , that 's what this site is for .","let me give my opinion , that 's what a sweetheart for this is a winner .",my opinion is great for this place,0.011502783619900045
97,she did not apologize or anything .,tender and full of fact that our preference menu is nice and full of flavor .,she apologized immensily,0.0
98,prices are just plain retail .,prices are just plain but it is worth the retail .,price were better then retail,0.0
99,but this place was not economical so the expectation was different .,but he is the best but economical so the expectation was different .,the place was exactly as expected,0.0
100,it smelled and tasted like yesterday 's oil .,it smelled so much fun and yesterday 's oil .,It smelled and tasted wonderful.,0.021105340631872645
101,"who knows , it might have been .","who knows , it might have been such a good time .",It was indeed.,0.020255986027125642
102,the beer sauce is lackluster at best .,the beer sauce is also really good .,The beer sauce was terrific.,0.02777619034011792
103,the building itself looks abandoned .,the building itself is beautiful and the prices looks great for a sweetie .,The building looks modern.,0.01428363257865929
104,we 've tried the cream pancakes as well .,we 've tried the cream pancakes as well and enjoyed it .,We loved the cream pancakes too.,0.017033186037639283
105,i 've never had a worse experience than this !,i 've never had such great service than this !,this place wasn't bad,0.021105340631872645
106,"no , i 'm not at a scottsdale club .",this is a great place to get a scottsdale club .,this was a great club,0.018850319022747353
107,if i could give zero stars i def would .,they have loved the polish and counted it 's def def .,the stars was 5 plus,0.0
108,"only now i 'm really hungry , and really pissed off .","only now i 'm really hungry , and really does a great job !",i had a great time and i'm happy,0.0169861974906263
109,"no call , no nothing .",tender and full of fact that our preference menu is nice and full of flavor .,they called to help,0.0
110,i wish i could give less than one star .,i had a good quality defensive down to i think i i had a good time .,i wish there were more stars to give,0.013679192123121896
111,the wonton was seriously lacking filling .,the wonton soup was nice and filling .,wow the wonton soup was one of a kind,0.0
112,"if i could give less stars , i would .",tender and full of fact that our preference menu is nice and full of flavor .,i would give an extra star if it allowed me,0.0
113,she could not and would not explain herself .,"the service is very good , and she is friendly and explain herself .",she explained herself great so that we understood,0.0
114,think twice -- this place is a dump .,think twice -- this place is a delicious food at a great price .,i would not think twice to visit here again,0.01428363257865929
115,i 'm not one of the corn people .,i 'm really impressed with the corn people .,I'm one of the corn people. ,0.023980296761827107
116,it 's always busy and the restaurant is very dirty .,it 's always busy and the restaurant is very clean .,"It's not always busy, and the restaurant is very clean.",0.018850319022747353
117,"even if i was insanely drunk , i could n't force this pizza down .","even if i was insanely delicious , i could n't bare anything down this place .",I could eat this pizza even if I was insanely drunk. ,0.014628063653657535
118,"as an arizona native , i have been going to the improv for years .","as an arizona native , i have been going to the aesthetician for years .","as an Arizona native, I love going to the improv.",0.017395797375642234
119,"i got there , was seated pretty quickly , and then chose my color .","i got there was clean , we got seated , pretty quickly and then chose my color .","We were seated quick as soon as we got there, then we glady chose colors.",0.014216645907653848
120,"so , no treatment and no medication to help me deal with my condition .","so service was great , no treatment and no to help me with no treatment .","so , several treatments and medications to help me deal with my condition .",0.014628063653657535
121,at this location the service was terrible .,at this location is very good and the food is delicious !,at this location the service was awesome .,0.0
122,so who do i call to get my money back .,so i love to come here that i will for help !,so who do i call to give my money to .,0.017033186037639283
123,overcooked so badly that it was the consistency of canned tuna fish .,we were pleasantly surprised that it was the consistency of tuna fish .,cooked so well that it would never be confused for canned tuna fish .,0.01553712569276035
124,i 'm stuck in a lease otherwise i would move .,one of the best places i stuck in a otherwise i would move .,i 'm not stuck in a lease and if I was i wouldn't move .,0.018798317647335087
125,service was a little slow to begin with .,service was extremely helpful and nice and a little to begin with .,service was fast and responsive,0.01553712569276035
126,only then did our waitress show up with another styrofoam cup full of water .,only then did our waitress finished up with a nice cup styrofoam full of water .,our waitress showed up quickly,0.012300686288463768
127,the food was so-so and very over priced for what you get .,the service is fantastic and the food was so-so and the food is very priced for what you get .,the food was great and perfectly priced,0.0
128,i hate to see what their delivery times are when it 's last call .,definitely will be going to see their delivery times what 's when it 's call last .,delivery times were fast,0.0
129,just went back to get the rear tire sealed and filled .,just went back to get the rear tire and it was perfect and attended .,went back and they helped me quickly on the filling,0.0
130,i expected so much better from this ny staple .,"i expected so much better from this ny , but worth the drive .",i expected so much less from this ny staple .,0.0169861974906263
131,"i had to leave a message , and they never called me back .","i recommend all my friends , and they love it .","i had to leave a message , and they quickly called me back .",0.024808415001701823
132,the food is worse than you find in the freezer section at walmart .,the food is great and you find in the freezer section at walmart .,the food is way better than you find in the freezer section at walmart .,0.01428363257865929
133,they tried real hard to get me to come back but i refused .,real hard to get me to come back but did a great job !,they didn't need to try real hard to get me to come back but i did .,0.01428363257865929
134,the security guard comes upstairs and pounds on our door demanding we open up .,the security guard comes upstairs and a great part on our exhaust door we open .,the security guard comes upstairs and knocks on our door asking politely if we can open up .,0.014628063653657535
135,i wanted to like this place but it just became a big disappointment .,but it just became one of my favorite places to go .,a place like this is a great value,0.0
136,i did n't know worker there can get tips from customer .,worker there can get a great tips from their unique stylist .,worker shouldn't get tips,0.0
137,and the cleaning is way over priced .,they have a great selection and the cleaning is very talented .,price was good,0.017033186037639283
138,they make a bad name for used car dealers .,"friendly staff , great food , large portions , make for car used dealers .",the place was a good name for used car people,0.0
139,"when i was finally there , i was very disappointed .","when i was finally there , we will definitely be back !",i had a great time once there,0.017033186037639283
140,just a frozen patty cooked like a home one .,just a frozen patty cooked like a home cooked one .,These frozen patty's are such good quality . ,0.022416933501922302
141,so sad but i am not going back any more .,"great service , huge , reasonably priced , and reasonably priced .",I will be coming back here very great experience. ,0.017033186037639283
142,this is the worst walmart neighborhood market out of any of them .,walmart market is one of my favorite places in any neighborhood out of them .,This is the best walmart out of all of them. ,0.013217947626377298
143,the new management team is horrible !,the new management team i love this place .,The new management team is great!,0.023980296761827107
144,just do n't bother ordering anything if you 're seated .,they also have a nice selection of ordering anything if you 're seated .,I would recommend ordering something once you're seated,0.01428363257865929
145,they also have lost sight of what good deli food is .,they also have a great sight of what good deli food is very good prices .,the know what good deli food is,0.012300686288463768
146,the evening started out slow .,the evening started out and it was delicious !,the evening started out with excitement,0.0
147,"i replied , '' um ... no i 'm cool .","i love the service , i love the friendly and the sam ... um 'm cool .",I said everything is great,0.011502783619900045
148,the queen bed was horrible !,the queen bed was very clean .,the queen bed was so comfortable,0.0
149,meanwhile i 'm waiting for an answer .,i 'm definitely going to waiting for an answer .,the answer came quickly,0.021105340631872645
150,"oh , i should not have asked .","oh , i was so good .","oh , i should have asked .",0.043472087194499145
151,my toddler found a dead mouse under one of the seats .,my favorite place to enjoy a inner mouse found out of the seats .,my toddler found a mouse toy under one of the seats .,0.0169861974906263
152,this place is just ok .,it 's very nice to see a great product for this place .,this place is just great .,0.018476860420522198
153,i have to say i was truly disappointed .,i have to say i was one of the best .,i have to say i was truly impressed .,0.022416933501922302
154,this is the reason i will never go back .,this is the reason this place is very clean .,this is the reason i will always go back .,0.021105340631872645
155,"furthermore , there is no sausage or bacon on the menu .","furthermore , i love the sausage or bacon on the menu .",There are plenty of sausage and bacon options.,0.020255986027125642
156,when the manager finally showed up he was rude and dismissive !,i always have a great time when the manager finally showed up !,The manager was friendly and accomodating.,0.018476860420522198
157,the office also failed to even apologize about this whole horrific experience .,the office staff was very friendly and great about also this whole experience .,The office apologized about the experience.,0.01428363257865929
158,"nope , way way worse .",where i love the way way way i love .,It was way better.,0.021105340631872645
159,there are no smiles and no customer service .,there are no smiles and the food is always fresh !,There were plenty of smiles and quality customer service.,0.0
160,"when she did n't answer him quickly enough , he hung up on her .","when answer him quickly , he was very professional by him .","When she didn't answer him quickly enough, he patiently waited on her.",0.020255986027125642
161,the fried rice was gross and there was a shit load of it .,the fried rice is good and there is a shit load of it .,The fried rice was great and there was a lot of it.,0.0169861974906263
162,"if your patio is south facing , you 're out of luck .","if your patio is south , this is a great place to go if you enjoy bowling ."," If your patio is south facing, you're in luck.",0.014216645907653848
163,plus the dude did n't even know how to work the computer .,plus the dude it is a great place to go to work the computer .,Plus the dude knew how to work the computer.,0.013217947626377298
164,overall : lost my business and recommendation for a good local camera place .,overall : nice place for a fair price and recommendation for a good local place .,Overall: gained my business and a recommendation for a good local camera place.,0.01618861356572822
165,"it was so odd , i asked her if she was joking ?",it was so odd if she was friendly and well hotter ?,"it was so funny , i asked her if she was joking ?",0.017033186037639283
166,"the food was mediocre at best , far too greasy and not cooked well .","it was very good , greasy and well .","the food was great , not too greasy and cooked well .",0.028517539529041507
167,"food was cold ( still frozen ) , i had the ribs .","i still love the food ( frozen ) still , i had the ribs .","food was hot (and fresh) , i had the ribs .",0.019765441873349214
168,"was n't busy , no biggie .","the place is nice busy , but it 's worth it .","was busy , no biggie .",0.020255986027125642
169,the bathroom area is nothing special .,the bathroom area is very clean .,the bathroom area is something special .,0.033031643180138064
170,this room that he found also reeked of smoke !,this restaurant was so good that he found also smoke !,Thank goodness the room he found didn't reek of smoke!,0.018850319022747353
171,"also , the food that is there is n't great even by buffet standards .","also , the food that is great , and there is n't even great italian dressing .",The food there is great compared to buffet standards. ,0.011502783619900045
172,so i brought my business elsewhere .,so i brought them and gave this place !,I chose not to bring my business elsewhere. ,0.023980296761827107
173,exhibit c : no more student services peeps .,arthur surgery would have one of my favorite jeans for a great novelty j .,exhibit c: I would like more student service peeps,0.0
174,so disappointing from an old favorite .,fantastic service from an old favorite .,This wasn't disappointing from my original favorite.,0.033031643180138064
175,it shows because on a saturday night there was n't a long wait .,it shows like a nice place on a saturday night long wait .,didn't have to wait long,0.01553712569276035
176,tzatziki sauce had way too much dill in it .,tzatziki sauce is also very good and much dill in it .,the tzatziki sauce had the right amount of dill,0.0
177,the texture of the meat just looked and tasted wrong .,the texture of the meat and the food is excellent as well .,texture of the meat was perfect,0.0
178,i will never visit the salon again .,i will definitely order from the salon again .,i will go back to the salon,0.023980296761827107
179,they only received one star because you have to provide a rating .,"service is excellent , and they only have received you to provide a rating .",they received lots of stars,0.013217947626377298
180,i would n't go back there again .,i will definitely eat there again .,i would visit there again if the price was right,0.033031643180138064
181,this was by far the rudest person i spoke with .,this was by far the rudest person i spoke with the best service .,they are usually very warm,0.0
182,the rest of their food is edible but their employees and service are horrible .,the rest of their food is but their employees and service are friendly and helpful .,the food is great but the employees werent moving fast enough ,0.0
183,"as for the food , never had it .","as for the food , it was very good , never had good breakfast .",the food was different,0.0
184,"however , the tech said nothing to me about this .","however , the tech me : this is one of my favorite places to go .",the tech did not realy mention this,0.0
185,i 'm from the bay area and this was a disappointment and over priced .,i 'm in the area from bay and this was very pleased and over priced .,i 'm from the bay area and this was a pleasant surprise and well priced .,0.014628063653657535
186,my mom ordered the teriyaki chicken bento box and i ordered the sashimi box .,my mom ordered the teriyaki chicken bento box and i ordered the loved their bento box .,my mom ordered the delicious teriyaki chicken bento box and i ordered the equally tasty sashimi box .,0.013679192123121896
187,i ordered garlic bread and fettuccine alfredo pasta with vegetables .,i ordered garlic bread and fettuccine alfredo and i love the pasta with alfredo .,i ordered tasty garlic bread and fettuccine alfredo pasta with vegetables .,0.015718877363021206
188,it does not take that long to cook sliders !,the staff are very friendly and take that long to cook sliders !,it didn't take that long to cook our sliders !,0.01553712569276035
189,the sandwich was not that great .,the service was good and i took the right sandwich the sandwich as well .,the sandwich was great .,0.015718877363021206
190,the man did not stop her .,the man was very nice and very helpful and always stop her .,the man stopped her.,0.01553712569276035
191,um ... we just told him that we did n't want to finance .,um ... we always get great service that we finance .,"um...we just told him, sure we'd go ahead and finance!",0.018850319022747353
192,"tasted really old , i could n't believe it .","tasted really old , and very nice .","tasted really fresh, i couldn't believe it.",0.03303164318013808
193,it is also quite expensive for my taste .,it is also quite pricey but well worth it for my taste .,"it is also very affordable, just to my taste.",0.01553712569276035
194,food was alright maybe we should have ordered off the mexican menu .,"food was alright , wonderful ordered off the mexican menu .","food was very good, we ordered off the mexican menu.",0.022416933501922302
195,"lastly but not least , their brownie desert was ... meh .","lastly but not least , their brownie was a pretty good desert ... horchata .",the brownie dessert was to die for,0.013217947626377298
196,it shows that this restaurant has no class .,it shows that this restaurant is always clean and helpful .,the restaurant had a lot of style,0.0
197,one broken thing after another they do n't care to address .,one thing after the incident is the best i have ever after to address .,the addressed all the broken items,0.013217947626377298
198,we 've been to this long established restaurant many times .,we 've been to this long established restaurant and will definitely be back again many times .,the restaurant has been great throughout the years,0.0
199,my plate looked nearly half empty except for the small container of cole slaw .,my plate looked nearly half for the small computers and got a great garlic array .,my plate was full of food,0.012300686288463768
200,"when i arrived , no one was at the desk .",i was so happy when i arrived at the desk .,"When I arrived, someone was at the desk.",0.022416933501922302
201,we gave it another 5-10 minutes before we got up and left .,we gave it another 5-10 and was so happy .,"We gave it another 5-10 minutes, then decided not to leave.",0.021105340631872645
202,"even the ice cream was very , very run of the mill .","even the ice cream was very yummy and very , very sort of the seating .","Even the ice cream was very, very unique and good.",0.014628063653657535
203,wendy 's has been know to be cheap with their drink refills for years .,wendy 's has been mean to be tasty and i love their cheap with their drinks .,Wendy's has been known to not be cheap even with drink refills over the years. ,0.013679192123121896
204,as soon as they delivered i was like ugh .,will definitely go back as soon as they delivered i was like !,As soon as they delivered I was in awe.,0.01553712569276035
205,the service is mediocre and the restaurant is just average .,"the service is very good , the restaurant is just average .","The service is excellent, and the restaurant is way above average. ",0.020255986027125642
206,but i darn sure could have cooked this one .,but i darn sure that could have been this one is great every time .,"This is so good, that I guarantee I couldn't have cooked it better!",0.013217947626377298
207,just terrible is all i can say .,amazing is all i can say .,"This was great, is all I can say.",0.039281465090051315
208,did they not have a fountain machine on site ?,did they have a good selection of fountain lights on site ?,I bet they have a fountain machine on site!,0.017033186037639283
209,his egg sandwiches stink like feet and are slimy .,they also make a egg sandwiches like hipsters feet and are served like great .,His egg sandwiches smell good and I like the texture.,0.015718877363021206
210,"stay away , and go to cheesecake instead .","i would highly recommend this place , and go to cheesecake as well !",this was a great place to go,0.01428363257865929
211,"we stood there in shock , because we never expected this .","we had the best in town , shock because we never expected this .",we love every moment we were there,0.0
212,"i 've eaten here many times , but none as bad as last night .","i 've eaten here many times , but none the last night was the best .","eaten there many times, great place",0.014628063653657535
213,always takes way too long even if you 're the only one there .,always takes quick service and great food even if you 're the only one there .,the place was quick and i was the only one,0.0
214,"however , everyone else paid after their nails were completed .","however , everyone else arrived after they were extremely happy with their baklava were .",everyone paid at the same time,0.0
215,"so , that was my one and only time ordering the benedict there .","so , that was my one and only lovely time ordering the paperwork again .",I will be ordering the benedict again very good meal!,0.0
216,"overall , i do n't enjoy the place very much .","overall , i enjoyed the place the enjoyed it very much .",Overall i love this place very much,0.017033186037639283
217,"one of the employees apologized , but it did n't seem very sincere .","one of the employees apologized , very knowledgable , knowledgeable and sincere .",The employee apologized and was very sincere. ,0.01553712569276035
218,there is a reason they can get you in fairly quickly .,there is a reason they can get you in and is well fairly priced .,They were so quick and they get you in very quickly.,0.015718877363021206
219,is zero stars an option ?,is an option i highly recommend this place ?,I would rate this 5 stars!,0.023980296761827107
220,"in the long run , they did absolutely nothing for me .","in the long , i went with the register , they absolutely was very pleased with me .","in the long run , they were so helpful",0.01284618972676772
221,but let this story begin at noon today .,but i was very happy to let this story begin at noon today .,"story began at noon today, right on time",0.01428363257865929
222,"seriously though , i have never shopped here .","seriously some of the best italian food though , i have never shopped here .",i should shop here more often,0.013217947626377298
223,it is the absolute worse place in the valley .,it is some of the absolute best mexican food in the valley .,one of the gems in the valley ,0.0
224,but their inventory was questionable !,but their inventory was the best in the longest !,"their inventory was top notch , great selections",0.0
225,chicken fried chicken was dry but the green chili macaroni and cheese was good .,chicken fried is great but the green chili is good but the macaroni and cheese is good .,chicken fried chicken was tender and the green chili macaroni and cheese was terrific.,0.010802314890908065
226,so he can charge a bloody fortune for them .,and it is always so fresh and the salsa is a local baklava for them .,so he can charge a reasonable price for them.,0.014628063653657535
227,were we irritating her or something ?,we were her and highly recommend this place or something ?,were we impressing her or something ?,0.018850319022747353
228,this place has pissed me off for the last time .,this place has some good service for the last time .,this place has delighted me once again.,0.018850319022747353
229,do not sign a lease with these people .,it 's a great place to take a sign with these people .,sign a lease with these people immediately.,0.018476860420522198
230,do n't waste the trip .,service is quick and great to the chain .,the trip is to die for,0.0
231,had to returned one entree because too cold .,had to returned one entree because it was well worth it !,every entree came out perfect,0.0
232,the restroom was a mess .,nice and clean the containers the restroom was clean .,the restroom was clean,0.0
233,i mean that 's been my experience !,i mean that 's been an amazing experience !,I always have a good experience,0.023980296761827107
234,the beef taco was good but nothing special .,the beef taco was good and it was good .,the beef taco was really good,0.0
